日期,收市,開市,高,低,成交量,更改%
2018年9月18日,"27,084.66","26,846.33","27,156.55","26,648.99",1.87B,0.56%
2018年9月17日,"26,932.85","27,029.91","27,037.48","26,763.21",1.30B,-1.30%
2018年9月14日,"27,286.41","27,229.79","27,340.02","27,027.45",1.76B,1.01%
2018年9月13日,"27,014.49","26,798.39","27,014.49","26,648.77",2.41B,2.54%
2018年9月12日,"26,345.04","26,462.82","26,468.91","26,219.56",2.33B,-0.29%
2018年9月11日,"26,422.55","26,611.93","26,690.65","26,394.87",1.74B,-0.72%
2018年9月10日,"26,613.42","26,922.27","26,926.63","26,453.29",2.11B,-1.33%
2018年9月7日,"26,973.47","26,895.87","27,196.57","26,669.58",2.95B,-0.01%
2018年9月6日,"26,974.82","27,069.21","27,268.39","26,818.82",2.24B,-0.99%
2018年9月5日,"27,243.85","27,789.02","27,861.99","27,208.34",1.97B,-2.61%
2018年9月4日,"27,973.34","27,619.18","27,984.89","27,563.79",1.14B,0.94%
2018年9月3日,"27,712.54","27,809.45","27,822.19","27,577.04",1.44B,-0.63%
2018年8月31日,"27,888.55","27,798.21","27,962.03","27,720.32",1.98B,-0.98%
2018年8月30日,"28,164.05","28,533.93","28,533.93","28,121.40",1.33B,-0.89%
2018年8月29日,"28,416.44","28,362.84","28,485.83","28,272.13",1.41B,0.23%
2018年8月28日,"28,351.62","28,530.89","28,579.64","28,234.53",1.70B,0.28%
2018年8月27日,"28,271.27","28,016.66","28,289.06","27,956.04",2.20B,2.17%
2018年8月24日,"27,671.87","27,565.98","27,830.91","27,532.06",1.54B,-0.43%
2018年8月23日,"27,790.46","28,005.33","28,051.65","27,659.21",1.51B,-0.49%
2018年8月22日,"27,927.58","27,836.68","27,954.52","27,579.80",1.84B,0.63%
2018年8月21日,"27,752.79","27,670.54","27,771.30","27,526.30",1.75B,0.56%
2018年8月20日,"27,598.02","27,273.78","27,609.80","27,209.22",1.71B,1.41%
2018年8月17日,"27,213.41","27,388.57","27,450.84","27,101.10",1.61B,0.42%
2018年8月16日,"27,100.06","26,871.11","27,405.25","26,871.11",2.20B,-0.82%
2018年8月15日,"27,323.59","27,724.72","27,727.27","27,249.08",1.97B,-1.55%
2018年8月14日,"27,752.93","27,938.32","27,946.55","27,522.82",1.54B,-0.66%
2018年8月13日,"27,936.57","27,956.78","28,085.17","27,823.21",1.53B,-1.52%
2018年8月10日,"28,366.62","28,614.73","28,665.90","28,296.99",1.32B,-0.84%
2018年8月9日,"28,607.30","28,260.50","28,728.17","28,192.81",1.49B,0.88%
2018年8月8日,"28,359.14","28,473.48","28,473.48","28,224.46",1.66B,0.39%
2018年8月7日,"28,248.88","27,889.44","28,266.68","27,843.16",1.60B,1.54%
2018年8月6日,"27,819.56","27,885.51","28,074.53","27,730.42",1.49B,0.52%
2018年8月3日,"27,676.32","27,751.60","27,786.15","27,604.56",1.66B,-0.14%
2018年8月2日,"27,714.56","28,159.01","28,218.28","27,578.09",2.05B,-2.21%
2018年8月1日,"28,340.74","28,756.72","28,772.80","28,219.97",1.56B,-0.85%
2018年7月31日,"28,583.01","28,663.14","28,682.31","28,538.03",1.51B,-0.52%
2018年7月30日,"28,733.13","28,631.05","28,839.24","28,539.56",1.27B,-0.25%
2018年7月27日,"28,804.28","28,734.73","28,816.69","28,572.79",1.24B,0.08%
2018年7月26日,"28,781.14","29,083.40","29,083.40","28,625.08",1.46B,-0.48%
2018年7月25日,"28,920.90","28,906.97","28,964.79","28,764.35",1.68B,0.90%
2018年7月24日,"28,662.57","28,282.30","28,718.00","28,282.30",2.49B,1.44%
2018年7月23日,"28,256.12","28,298.61","28,391.58","28,091.06",1.95B,0.11%
2018年7月20日,"28,224.48","28,054.76","28,294.74","27,745.85",2.52B,0.76%
2018年7月19日,"28,010.86","28,251.16","28,329.98","27,998.36",1.54B,-0.38%
2018年7月18日,"28,117.42","28,352.11","28,386.38","28,045.47",1.55B,-0.23%
2018年7月17日,"28,181.68","28,451.50","28,460.87","28,137.95",1.75B,-1.25%
2018年7月16日,"28,539.66","28,580.96","28,699.21","28,327.00",1.28B,0.05%
2018年7月13日,"28,525.44","28,689.18","28,715.36","28,500.51",1.49B,0.16%
2018年7月12日,"28,480.83","28,260.09","28,614.53","28,217.31",1.91B,0.60%
2018年7月11日,"28,311.69","28,013.72","28,365.72","28,013.72",1.93B,-1.29%
2018年7月10日,"28,682.25","28,900.71","28,981.93","28,682.25",1.72B,-0.02%
2018年7月9日,"28,688.50","28,606.16","28,821.54","28,518.52",1.94B,1.32%
2018年7月6日,"28,315.62","28,254.37","28,554.21","27,925.33",2.08B,0.47%
