日期,收市,開市,高,低,成交量,更改%
2010年12月31日,"23,035.45","23,106.00","23,147.00","23,018.00",-,0.16%
2010年12月30日,"22,999.34","23,157.00","23,164.00","22,890.00",-,0.13%
2010年12月29日,"22,969.30","22,686.00","22,991.00","22,650.00",-,1.54%
2010年12月28日,"22,621.73","22,498.00","22,671.00","22,498.00",-,-0.93%
2010年12月24日,"22,833.80","22,874.00","22,911.00","22,728.00",-,-0.30%
2010年12月23日,"22,902.97","23,111.00","23,159.00","22,831.00",-,-0.62%
2010年12月22日,"23,045.19","23,042.00","23,185.00","22,986.00",-,0.22%
2010年12月21日,"22,993.86","22,785.00","23,052.00","22,703.00",-,1.57%
2010年12月20日,"22,639.08","22,661.00","22,748.00","22,381.00",-,-0.33%
2010年12月17日,"22,714.85","22,635.00","22,738.00","22,491.00",-,0.20%
2010年12月16日,"22,668.78","22,986.00","22,997.00","22,569.00",-,-1.33%
2010年12月15日,"22,975.35","23,332.00","23,370.00","22,829.00",-,-1.95%
2010年12月14日,"23,431.19","23,397.00","23,431.19","23,324.00",-,0.49%
2010年12月13日,"23,317.61","23,539.00","23,539.00","23,235.00",-,0.67%
2010年12月10日,"23,162.91","23,128.00","23,231.00","22,939.00",-,-0.04%
2010年12月9日,"23,171.80","23,202.00","23,261.00","23,066.00",-,0.34%
2010年12月8日,"23,092.52","23,353.00","23,391.00","22,970.00",-,-1.43%
2010年12月7日,"23,428.15","23,129.00","23,501.00","23,087.00",-,0.82%
2010年12月6日,"23,237.69","23,506.00","23,633.00","23,184.00",-,-0.36%
2010年12月3日,"23,320.52","23,481.00","23,543.00","23,310.00",-,-0.55%
2010年12月2日,"23,448.78","23,582.00","23,595.00","23,378.00",-,0.86%
2010年12月1日,"23,249.80","22,964.00","23,365.00","22,824.00",-,1.05%
2010年11月30日,"23,007.99","23,137.00","23,189.00","22,821.00",-,-0.68%
2010年11月29日,"23,166.22","22,876.00","23,195.00","22,797.00",-,1.26%
2010年11月26日,"22,877.25","23,021.00","23,101.00","22,759.00",-,-0.77%
2010年11月25日,"23,054.68","23,093.00","23,283.00","23,004.00",-,0.13%
2010年11月24日,"23,023.86","23,176.00","23,179.00","22,962.00",-,0.56%
2010年11月23日,"22,896.14","23,296.00","23,333.00","22,844.00",-,-2.67%
2010年11月22日,"23,524.02","23,613.00","23,626.00","23,429.00",-,-0.35%
2010年11月19日,"23,605.71","23,579.00","23,693.00","23,236.00",-,-0.13%
2010年11月18日,"23,637.39","23,387.00","23,649.00","23,309.00",-,1.82%
2010年11月17日,"23,214.46","23,511.00","23,610.00","23,160.00",-,-2.02%
2010年11月16日,"23,693.02","23,975.00","24,057.00","23,552.00",-,-1.39%
2010年11月15日,"24,027.18","24,397.00","24,419.00","23,983.00",-,-0.81%
2010年11月12日,"24,222.58","24,324.00","24,610.00","24,204.00",-,-1.93%
2010年11月11日,"24,700.30","24,589.00","24,899.00","24,509.00",-,0.82%
2010年11月10日,"24,500.61","24,732.00","24,737.00","24,452.00",-,-0.85%
2010年11月9日,"24,710.60","24,814.00","24,963.00","24,683.00",-,-1.02%
2010年11月8日,"24,964.37","24,820.00","24,989.00","24,737.00",-,0.35%
2010年11月5日,"24,876.82","24,811.00","24,908.00","24,720.00",-,1.39%
2010年11月4日,"24,535.63","24,379.00","24,535.63","24,360.00",-,1.62%
2010年11月3日,"24,144.67","23,722.00","24,176.00","23,659.00",-,2.00%
2010年11月2日,"23,671.42","23,551.00","23,703.00","23,537.00",-,0.08%
2010年11月1日,"23,652.94","23,462.00","23,665.00","23,454.00",-,2.41%
2010年10月29日,"23,096.32","23,179.00","23,184.00","22,837.00",-,-0.49%
2010年10月28日,"23,210.86","23,237.00","23,253.00","23,119.00",-,0.20%
2010年10月27日,"23,164.58","23,576.00","23,687.00","23,130.00",-,-1.85%
2010年10月26日,"23,601.24","23,670.00","23,679.00","23,537.00",-,-0.11%
2010年10月25日,"23,627.91","23,557.00","23,800.00","23,537.00",-,0.47%
2010年10月22日,"23,517.54","23,577.00","23,667.00","23,480.00",-,-0.56%
2010年10月21日,"23,649.48","23,682.00","23,744.00","23,443.00",-,0.39%
2010年10月20日,"23,556.50","23,454.00","23,692.00","23,333.00",-,-0.87%
2010年10月19日,"23,763.73","23,574.00","23,787.00","23,570.00",-,1.25%
2010年10月18日,"23,469.38","23,697.00","23,707.00","23,459.00",-,-1.21%
2010年10月15日,"23,757.63","23,745.00","23,855.00","23,668.00",-,-0.40%
2010年10月14日,"23,852.17","23,693.00","23,882.00","23,622.00",-,1.68%
2010年10月13日,"23,457.69","23,281.00","23,493.00","23,055.00",-,1.45%
2010年10月12日,"23,121.70","23,164.00","23,244.00","23,070.00",-,-0.37%
2010年10月11日,"23,207.31","23,229.00","23,313.00","23,170.00",-,1.15%
2010年10月8日,"22,944.18","22,929.00","23,087.00","22,882.00",-,0.26%
2010年10月7日,"22,884.32","22,944.00","22,951.00","22,837.00",-,0.02%
2010年10月6日,"22,880.41","22,984.00","23,001.00","22,872.00",-,1.07%
2010年10月5日,"22,639.14","22,561.00","22,666.00","22,507.00",-,0.09%
2010年10月4日,"22,618.66","22,535.00","22,702.00","22,527.00",-,1.17%
2010年9月30日,"22,358.17","22,258.00","22,362.00","22,180.00",-,-0.09%
2010年9月29日,"22,378.67","22,316.00","22,435.00","22,291.00",-,1.22%
2010年9月28日,"22,109.95","22,322.00","22,368.00","22,067.00",-,-1.03%
2010年9月27日,"22,340.84","22,321.00","22,405.00","22,310.00",-,1.00%
2010年9月24日,"22,119.43","21,991.00","22,160.00","21,974.00",-,0.33%
2010年9月22日,"22,047.71","22,113.50","22,230.50","22,010.50",-,0.21%
2010年9月21日,"22,002.59","22,037.50","22,075.50","21,946.50",-,0.11%
2010年9月20日,"21,977.34","21,931.50","22,012.50","21,884.50",-,0.03%
2010年9月17日,"21,970.86","21,777.50","21,991.50","21,703.50",-,1.29%
2010年9月16日,"21,691.45","21,687.50","21,739.50","21,516.50",-,-0.16%
2010年9月15日,"21,725.64","21,750.50","21,770.50","21,640.50",-,0.14%
2010年9月14日,"21,696.04","21,767.50","21,779.50","21,668.50",-,0.17%
2010年9月13日,"21,658.35","21,414.50","21,729.50","21,413.50",-,1.89%
2010年9月10日,"21,257.39","21,300.50","21,337.50","21,072.50",-,0.43%
2010年9月9日,"21,167.27","21,146.50","21,257.50","21,114.50",-,0.37%
2010年9月8日,"21,088.86","21,233.50","21,245.50","21,064.50",-,-1.46%
2010年9月7日,"21,401.79","21,414.50","21,453.50","21,334.50",-,0.22%
2010年9月6日,"21,355.77","21,207.50","21,429.50","21,156.50",-,1.83%
2010年9月3日,"20,971.50","20,879.50","21,059.50","20,862.50",-,0.49%
2010年9月2日,"20,868.92","20,851.50","20,945.50","20,831.50",-,1.19%
2010年9月1日,"20,623.83","20,512.50","20,625.50","20,480.50",-,0.93%
2010年8月31日,"20,433.50","20,488.50","20,585.50","20,338.50",-,-1.46%
2010年8月30日,"20,737.22","20,797.50","20,843.50","20,652.50",-,0.68%
2010年8月27日,"20,597.35","20,575.50","20,694.50","20,553.50",-,-0.07%
2010年8月26日,"20,612.06","20,605.50","20,654.50","20,561.50",-,-0.11%
2010年8月25日,"20,634.98","20,578.50","20,661.50","20,483.50",-,-0.11%
2010年8月24日,"20,658.71","20,746.50","20,941.50","20,630.50",-,-1.10%
2010年8月23日,"20,889.01","21,029.50","21,060.50","20,851.50",-,-0.44%
2010年8月20日,"20,981.82","20,864.50","20,996.50","20,843.50",-,-0.43%
2010年8月19日,"21,072.46","21,079.50","21,322.50","20,989.50",-,0.24%
2010年8月18日,"21,022.73","21,209.50","21,282.50","20,942.50",-,-0.54%
2010年8月17日,"21,137.43","21,098.50","21,158.50","20,989.50",-,0.12%
2010年8月16日,"21,112.12","20,997.50","21,231.50","20,962.50",-,0.19%
2010年8月13日,"21,071.57","21,048.50","21,189.50","20,967.50",-,-0.16%
2010年8月12日,"21,105.71","20,992.50","21,105.71","20,888.50",-,-0.89%
2010年8月11日,"21,294.54","21,534.50","21,670.50","21,218.50",-,-0.83%
2010年8月10日,"21,473.60","21,743.50","21,761.50","21,455.50",-,-1.50%
2010年8月9日,"21,801.59","21,671.50","21,812.50","21,639.50",-,0.57%
2010年8月6日,"21,678.80","21,587.50","21,779.50","21,492.50",-,0.59%
2010年8月5日,"21,551.72","21,586.50","21,652.50","21,473.50",-,0.01%
2010年8月4日,"21,549.88","21,581.50","21,672.50","21,458.50",-,0.43%
2010年8月3日,"21,457.66","21,554.50","21,615.50","21,440.50",-,0.21%
2010年8月2日,"21,412.79","21,289.50","21,484.50","21,253.50",-,1.82%
2010年7月30日,"21,029.81","21,016.50","21,100.50","20,938.50",-,-0.30%
2010年7月29日,"21,093.82","21,091.17","21,130.74","20,970.93",1.01B,0.01%
2010年7月28日,"21,091.18","20,961.55","21,199.55","20,902.16",1.35B,0.56%
2010年7月27日,"20,973.39","20,890.50","21,021.50","20,809.50",-,0.64%
2010年7月26日,"20,839.91","20,975.50","20,975.50","20,820.50",-,0.12%
2010年7月23日,"20,815.33","20,784.50","20,849.50","20,715.50",-,1.10%
2010年7月22日,"20,589.70","20,451.50","20,616.50","20,385.50",-,0.69%
2010年7月21日,"20,449.17","20,329.50","20,515.50","20,312.50",-,0.91%
2010年7月20日,"20,264.59","20,063.50","20,424.50","20,052.50",-,1.14%
2010年7月19日,"20,036.50","20,001.50","20,131.50","19,992.50",-,-1.06%
2010年7月16日,"20,250.16","20,293.61","20,313.74","20,173.49",-,-0.03%
2010年7月15日,"20,255.62","20,530.29","20,665.62","20,226.26",-,-1.48%
2010年7月14日,"20,560.81","20,722.22","20,722.22","20,512.24",-,0.64%
2010年7月13日,"20,431.06","20,485.11","20,529.41","20,378.99",-,-0.18%
2010年7月12日,"20,467.43","20,476.02","20,539.61","20,368.62",-,0.44%
2010年7月9日,"20,378.66","20,142.78","20,418.31","20,116.52",-,1.64%
2010年7月8日,"20,050.56","20,231.15","20,236.18","20,002.01",-,0.97%
2010年7月7日,"19,857.07","19,948.15","19,948.15","19,800.23",-,-1.13%
2010年7月6日,"20,084.12","19,777.83","20,084.12","19,777.83",-,1.22%
2010年7月5日,"19,842.20","19,809.06","19,913.40","19,793.47",-,-0.32%
2010年7月2日,"19,905.32","20,059.56","20,161.99","19,803.22",-,-1.11%
2010年7月1日,"20,128.99","20,128.99","20,128.99","20,128.99",-,0.00%
2010年6月30日,"20,128.99","19,985.72","20,143.16","19,971.27",-,-0.59%
2010年6月29日,"20,248.90","20,727.45","20,738.15","20,190.88",-,-2.31%
2010年6月28日,"20,726.68","20,718.08","20,862.38","20,687.27",-,0.17%
2010年6月25日,"20,690.79","20,615.92","20,732.30","20,563.93",-,-0.21%
2010年6月24日,"20,733.49","20,797.44","20,901.15","20,710.15",-,-0.59%
2010年6月23日,"20,856.61","20,718.66","20,866.88","20,689.15",-,0.18%
2010年6月22日,"20,819.08","20,861.47","20,957.09","20,796.38",-,-0.45%
2010年6月21日,"20,912.18","20,571.40","20,938.33","20,571.40",-,3.08%
2010年6月18日,"20,286.71","20,199.22","20,315.42","20,138.35",-,0.74%
2010年6月17日,"20,138.40","20,201.81","20,201.81","20,078.59",-,0.38%
2010年6月15日,"20,062.15","19,998.53","20,142.10","19,970.91",-,0.05%
2010年6月14日,"20,051.91","20,102.55","20,102.55","20,024.04",-,0.90%
2010年6月11日,"19,872.38","19,995.64","19,995.64","19,834.23",-,1.22%
2010年6月10日,"19,632.70","19,517.61","19,729.15","19,517.61",-,0.06%
2010年6月9日,"19,621.24","19,488.20","19,792.28","19,383.89",-,0.69%
2010年6月8日,"19,487.48","19,459.74","19,510.09","19,333.10",-,0.56%
2010年6月7日,"19,378.15","19,211.67","19,389.91","19,211.67",-,-2.03%
2010年6月4日,"19,780.07","19,765.25","19,841.68","19,658.66",-,-0.03%
2010年6月3日,"19,786.71","19,822.89","19,859.80","19,744.32",-,1.62%
2010年6月2日,"19,471.80","19,651.55","19,656.22","19,372.13",-,-0.13%
2010年6月1日,"19,496.95","19,600.57","19,805.60","19,463.35",-,-1.36%
2010年5月31日,"19,765.19","19,705.53","19,823.99","19,629.83",-,-0.01%
2010年5月28日,"19,766.71","19,816.39","19,910.06","19,710.86",-,1.73%
2010年5月27日,"19,431.37","19,015.89","19,555.78","18,971.52",-,1.22%
2010年5月26日,"19,196.45","19,177.34","19,242.06","19,047.70",-,1.11%
2010年5月25日,"18,985.50","19,317.24","19,328.36","18,974.52",-,-3.47%
2010年5月24日,"19,667.76","19,470.28","19,757.44","19,470.28",-,0.62%
2010年5月20日,"19,545.83","19,694.47","19,747.16","19,276.46",-,-0.17%
2010年5月19日,"19,578.98","19,552.16","19,785.86","19,546.22",-,-1.83%
