日期,收市,開市,高,低,成交量,更改%
2008年12月30日,"4,810.20","4,754.22","4,810.41","4,754.22",-,2.24%
2008年12月29日,"4,704.86","4,660.17","4,732.85","4,655.91",-,1.63%
2008年12月26日,"4,629.38","4,629.38","4,629.38","4,629.38",-,0.00%
2008年12月24日,"4,629.38","4,629.38","4,629.38","4,629.38",-,0.00%
2008年12月23日,"4,629.38","4,633.47","4,718.60","4,622.97",-,-0.21%
2008年12月22日,"4,639.02","4,693.66","4,701.11","4,575.52",-,-1.23%
2008年12月19日,"4,696.70","4,720.88","4,785.32","4,647.13",-,-1.26%
2008年12月18日,"4,756.40","4,730.10","4,784.72","4,715.82",-,1.02%
2008年12月17日,"4,708.38","4,768.71","4,784.41","4,639.17",-,-0.46%
2008年12月16日,"4,729.91","4,663.36","4,758.27","4,655.87",-,1.61%
2008年12月15日,"4,654.82","4,718.39","4,773.32","4,627.46",-,-0.18%
2008年12月12日,"4,663.37","4,660.05","4,699.06","4,521.52",-,-2.18%
2008年12月11日,"4,767.20","4,791.56","4,822.21","4,710.04",-,-0.78%
2008年12月10日,"4,804.88","4,810.48","4,839.14","4,742.90",-,0.54%
2008年12月9日,"4,779.11","4,673.52","4,850.39","4,622.24",-,1.34%
2008年12月8日,"4,715.88","4,548.87","4,775.71","4,548.87",-,7.63%
2008年12月5日,"4,381.47","4,529.20","4,530.70","4,321.64",-,-4.00%
2008年12月4日,"4,564.23","4,559.98","4,732.93","4,491.86",-,-0.07%
2008年12月3日,"4,567.24","4,508.88","4,602.88","4,377.63",-,0.78%
2008年12月2日,"4,531.79","4,349.13","4,572.18","4,304.03",-,3.12%
2008年12月1日,"4,394.79","4,653.12","4,667.91","4,367.92",-,-5.88%
2008年11月28日,"4,669.44","4,666.41","4,703.67","4,566.84",-,0.09%
2008年11月27日,"4,665.27","4,596.40","4,682.91","4,589.16",-,2.30%
2008年11月26日,"4,560.50","4,528.55","4,612.22","4,423.67",-,0.00%
2008年11月25日,"4,560.42","4,521.85","4,693.10","4,455.30",-,0.13%
2008年11月24日,"4,554.33","4,167.71","4,579.07","4,154.55",-,10.34%
2008年11月21日,"4,127.41","4,228.31","4,296.86","4,034.96",-,-2.20%
2008年11月20日,"4,220.20","4,274.98","4,313.16","4,113.49",-,-3.08%
2008年11月19日,"4,354.09","4,586.33","4,586.69","4,337.92",-,-4.92%
2008年11月18日,"4,579.47","4,556.48","4,607.54","4,445.88",-,0.49%
2008年11月17日,"4,557.27","4,700.50","4,733.79","4,512.21",-,-3.25%
2008年11月14日,"4,710.24","4,723.29","4,874.16","4,695.79",-,1.31%
2008年11月13日,"4,649.52","4,599.64","4,713.78","4,524.89",-,0.62%
2008年11月12日,"4,620.80","4,801.90","4,875.66","4,555.44",-,-2.96%
2008年11月11日,"4,761.58","4,984.32","4,984.32","4,742.48",-,-5.25%
2008年11月10日,"5,025.53","5,024.43","5,135.15","4,998.04",-,1.76%
2008年11月7日,"4,938.46","4,827.56","5,018.41","4,751.24",-,2.59%
2008年11月6日,"4,813.57","5,101.98","5,101.98","4,781.51",-,-6.84%
2008年11月5日,"5,166.87","5,268.80","5,271.91","5,142.85",-,-2.11%
2008年11月4日,"5,278.04","5,018.83","5,302.57","4,993.10",-,5.00%
2008年11月3日,"5,026.84","5,053.94","5,089.54","4,967.94",-,0.78%
2008年10月31日,"4,987.97","4,856.02","5,066.81","4,785.11",-,2.44%
2008年10月30日,"4,869.30","4,894.14","5,042.49","4,827.27",-,1.26%
2008年10月29日,"4,808.69","4,460.26","4,885.85","4,460.26",-,-0.31%
2008年10月28日,"4,823.45","4,314.91","4,823.45","4,314.91",-,11.28%
2008年10月27日,"4,334.64","4,143.45","4,486.13","4,062.77",-,0.91%
2008年10月24日,"4,295.67","4,362.79","4,362.93","4,014.60",-,-4.96%
2008年10月23日,"4,519.70","4,559.71","4,576.87","4,364.20",-,-1.12%
2008年10月22日,"4,571.07","4,739.74","4,740.31","4,535.64",-,-4.46%
2008年10月21日,"4,784.41","4,882.80","4,909.64","4,736.22",-,-1.05%
2008年10月20日,"4,835.01","4,891.76","4,941.19","4,754.27",-,1.12%
