日期,收市,開市,高,低,成交量,更改%
2008年12月31日,"3,217.97","3,242.30","3,264.50","3,217.97",39.35M,0.03%
2008年12月30日,"3,217.13","3,160.43","3,217.13","3,151.03",65.05M,2.76%
2008年12月29日,"3,130.72","3,139.24","3,169.25","3,105.07",58.31M,0.47%
2008年12月24日,"3,116.21","3,111.02","3,150.23","3,094.69",30.57M,-0.39%
2008年12月23日,"3,128.41","3,154.40","3,188.42","3,128.41",89.70M,-0.73%
2008年12月22日,"3,151.36","3,201.66","3,209.35","3,151.36",121.44M,-2.31%
2008年12月19日,"3,225.90","3,190.15","3,248.92","3,146.82",213.88M,-0.26%
2008年12月18日,"3,234.15","3,246.86","3,260.01","3,196.91",157.13M,-0.24%
2008年12月17日,"3,241.92","3,281.82","3,305.02","3,187.72",173.59M,-0.30%
2008年12月16日,"3,251.66","3,186.43","3,251.66","3,176.70",131.83M,2.07%
2008年12月15日,"3,185.66","3,258.25","3,269.11","3,171.65",121.99M,-0.87%
2008年12月12日,"3,213.60","3,172.19","3,242.37","3,114.77",187.03M,-2.80%
2008年12月11日,"3,306.13","3,309.00","3,342.72","3,263.15",129.27M,-0.43%
2008年12月10日,"3,320.31","3,310.06","3,331.30","3,261.56",141.43M,0.68%
2008年12月9日,"3,297.80","3,211.15","3,342.84","3,198.51",199.28M,1.55%
2008年12月8日,"3,247.48","3,190.50","3,253.27","3,154.03",191.47M,8.68%
2008年12月5日,"2,988.01","3,118.74","3,128.43","2,956.75",170.76M,-5.48%
2008年12月4日,"3,161.16","3,160.40","3,257.15","3,109.16",169.39M,-0.17%
2008年12月3日,"3,166.65","3,147.42","3,183.50","3,056.03",136.41M,0.44%
2008年12月2日,"3,152.90","3,029.85","3,160.30","3,011.80",162.81M,2.35%
2008年12月1日,"3,080.43","3,261.33","3,272.09","3,071.99",137.26M,-5.59%
2008年11月28日,"3,262.68","3,239.38","3,262.68","3,177.30",144.64M,0.38%
2008年11月27日,"3,250.39","3,223.40","3,254.76","3,205.25",110.61M,2.54%
2008年11月26日,"3,169.85","3,183.70","3,213.16","3,095.06",157.88M,-1.24%
2008年11月25日,"3,209.56","3,126.38","3,274.71","3,104.36",222.08M,1.18%
2008年11月24日,"3,172.11","2,959.52","3,172.11","2,931.49",219.13M,10.09%
2008年11月21日,"2,881.26","3,005.19","3,041.11","2,838.50",230.95M,-3.33%
2008年11月20日,"2,980.42","3,000.14","3,037.36","2,909.34",236.56M,-3.48%
2008年11月19日,"3,087.89","3,215.51","3,215.51","3,085.14",182.59M,-4.03%
