日期,收市,開市,高,低,成交量,更改%
2011年12月30日,"3,159.81","3,139.91","3,159.81","3,120.05",61.30M,1.03%
2011年12月29日,"3,127.56","3,081.17","3,127.56","3,064.69",68.20M,1.84%
2011年12月28日,"3,071.08","3,102.24","3,130.82","3,071.08",60.15M,-1.03%
2011年12月27日,"3,103.11","3,111.14","3,131.50","3,098.14",40.09M,0.03%
2011年12月23日,"3,102.09","3,101.75","3,113.94","3,086.10",57.72M,0.99%
2011年12月22日,"3,071.80","3,046.83","3,080.19","3,046.83",97.43M,1.36%
2011年12月21日,"3,030.47","3,080.00","3,121.39","3,019.72",136.21M,-0.82%
2011年12月20日,"3,055.39","2,967.05","3,055.39","2,957.20",151.68M,2.73%
2011年12月19日,"2,974.20","2,942.34","3,009.99","2,941.40",107.02M,0.06%
2011年12月16日,"2,972.30","3,010.41","3,017.09","2,969.40",205.24M,-0.88%
2011年12月15日,"2,998.73","2,989.95","3,021.64","2,975.12",141.73M,0.76%
2011年12月14日,"2,976.17","3,057.43","3,072.95","2,976.17",153.96M,-3.33%
2011年12月13日,"3,078.72","3,096.67","3,111.10","3,059.46",144.71M,-0.35%
2011年12月12日,"3,089.59","3,150.84","3,163.70","3,089.59",128.30M,-2.61%
2011年12月9日,"3,172.35","3,066.46","3,175.90","3,064.63",178.01M,2.48%
2011年12月8日,"3,095.49","3,202.33","3,215.59","3,091.23",168.18M,-2.53%
2011年12月7日,"3,175.98","3,225.36","3,244.89","3,131.99",148.58M,-0.11%
2011年12月6日,"3,179.63","3,172.93","3,207.90","3,167.64",141.99M,-0.68%
2011年12月5日,"3,201.28","3,206.67","3,215.78","3,183.57",135.22M,1.15%
2011年12月2日,"3,164.95","3,167.31","3,201.06","3,151.41",160.04M,1.12%
2011年12月1日,"3,129.95","3,151.35","3,168.92","3,119.74",150.49M,-0.78%
2011年11月30日,"3,154.62","2,992.14","3,166.55","2,986.28",246.59M,4.22%
2011年11月29日,"3,026.76","2,995.96","3,047.87","2,972.10",129.58M,0.46%
2011年11月28日,"3,012.93","2,897.48","3,012.93","2,890.76",162.11M,5.46%
2011年11月25日,"2,856.97","2,822.85","2,871.49","2,793.22",128.03M,1.23%
2011年11月24日,"2,822.25","2,849.50","2,876.31","2,807.06",165.47M,-0.01%
2011年11月23日,"2,822.43","2,840.29","2,881.56","2,822.43",183.38M,-1.68%
2011年11月22日,"2,870.68","2,925.32","2,941.76","2,870.68",166.53M,-0.84%
2011年11月21日,"2,894.94","2,981.79","2,981.79","2,894.94",140.57M,-3.41%
2011年11月18日,"2,997.01","2,989.97","3,026.39","2,979.60",126.34M,-0.44%
2011年11月17日,"3,010.29","3,052.94","3,064.15","3,000.67",140.56M,-1.78%
2011年11月16日,"3,064.90","3,038.60","3,102.24","3,027.44",125.45M,0.52%
2011年11月15日,"3,049.13","3,082.04","3,097.98","3,030.16",145.88M,-1.92%
2011年11月14日,"3,108.95","3,169.43","3,174.32","3,090.23",131.61M,-1.28%
2011年11月11日,"3,149.38","3,070.33","3,154.98","3,057.04",142.16M,2.76%
