日期,收市,開市,高,低,成交量,更改%
2008年12月31日,718.1,711.4,721.7,711.4,-,0.94%
2008年12月30日,711.4,699.5,713.6,699.5,-,1.70%
2008年12月29日,699.5,682.9,700.6,682.9,-,2.43%
2008年12月24日,682.9,689.3,689.3,681,-,-0.93%
2008年12月23日,689.3,688.2,697.5,687.4,-,0.16%
2008年12月22日,688.2,694.3,697.3,683.4,-,-0.88%
2008年12月19日,694.3,701.4,701.4,680.3,-,-1.01%
2008年12月18日,701.4,700.3,704.9,693.6,-,0.16%
2008年12月17日,700.3,697.9,703,685.2,-,0.34%
2008年12月16日,697.9,692.8,701.3,687.7,-,0.74%
2008年12月15日,692.8,693.2,703,686.5,-,-0.06%
2008年12月12日,693.2,710.8,710.8,680.5,-,-2.48%
2008年12月11日,710.8,707.3,717.5,697.7,-,0.49%
2008年12月10日,707.3,709.6,713.7,701.2,-,-0.32%
2008年12月9日,709.6,696.4,714.7,685.5,-,1.90%
2008年12月8日,696.4,655.8,699.3,655.8,-,6.19%
2008年12月5日,655.8,674.3,674.3,648.2,-,-2.74%
2008年12月4日,674.3,675.3,690.1,662.4,-,-0.15%
2008年12月3日,675.3,667.7,678.7,654.7,-,1.14%
2008年12月2日,667.7,658.4,670,643.5,-,1.41%
2008年12月1日,658.4,694.4,694.4,654,-,-5.18%
2008年11月28日,694.4,684.4,694.4,679,-,1.46%
2008年11月27日,684.4,672.5,686.9,672.5,-,1.77%
2008年11月26日,672.5,675.5,680,656,-,-0.44%
2008年11月25日,675.5,672.6,691.3,659,-,0.43%
2008年11月24日,672.6,612.3,672.6,612.3,-,9.85%
2008年11月21日,612.3,627.6,639.2,604.7,-,-2.44%
2008年11月20日,627.6,648.7,648.7,617.4,-,-3.25%
2008年11月19日,648.7,681.6,682.3,647.7,-,-4.83%
2008年11月18日,681.6,669.2,681.6,653.2,-,1.85%
2008年11月17日,669.2,685.5,686.1,665.7,-,-2.38%
2008年11月14日,685.5,675.2,703.2,675.2,-,1.53%
2008年11月13日,675.2,677.3,680,660.7,-,-0.31%
2008年11月12日,677.3,687.8,701.8,669.6,-,-1.53%
2008年11月11日,687.8,713.2,713.2,685.3,-,-3.56%
2008年11月10日,713.2,706.9,732.8,706.9,-,0.89%
2008年11月7日,706.9,691.9,713.9,690.5,-,2.17%
2008年11月6日,691.9,733.8,733.8,690,-,-5.71%
2008年11月5日,733.8,751.4,751.4,728.1,-,-2.34%
2008年11月4日,751.4,719.6,751.4,713.3,-,4.42%
2008年11月3日,719.6,708.9,719.6,704.2,-,1.51%
2008年10月31日,708.9,695,710,679.4,-,2.00%
2008年10月30日,695,687.1,704.9,680.2,-,1.15%
2008年10月29日,687.1,635.9,687.1,635.9,-,8.05%
2008年10月28日,635.9,623.9,653.3,623.1,-,1.92%
2008年10月27日,623.9,628.9,633.5,593.6,-,-0.80%
2008年10月24日,628.9,662,662,601.7,-,-5.00%
2008年10月23日,662,654.4,665.4,636.1,-,1.16%
2008年10月22日,654.4,685,685,653,-,-4.47%
2008年10月21日,685,693.6,704.1,682.2,-,-1.24%
2008年10月20日,693.6,658,693.6,658,-,5.41%
2008年10月17日,658,625.4,660.4,625.3,-,5.21%
2008年10月16日,625.4,660.7,660.7,616.7,-,-5.34%
2008年10月15日,660.7,711.6,711.6,656.2,-,-7.15%
2008年10月14日,711.6,689.4,734.4,689.4,-,3.22%
2008年10月13日,689.4,636.8,689.4,636.8,-,8.26%
2008年10月10日,636.8,698.6,698.6,627.4,-,-8.85%
