日期,收市,開市,高,低,成交量,更改%
2011年12月30日,902.4,901.5,905,896.4,-,0.10%
2011年12月29日,901.5,891.9,901.5,890.2,-,1.08%
2011年12月28日,891.9,892.8,901.7,889.3,-,-0.10%
2011年12月23日,892.8,883.8,893.4,883.8,-,1.02%
2011年12月22日,883.8,872.9,885.7,872.9,-,1.25%
2011年12月21日,872.9,877.7,887.4,869.9,-,-0.55%
2011年12月20日,877.7,868.9,878.8,863,-,1.01%
2011年12月19日,868.9,872.5,876.2,865.3,-,-0.41%
2011年12月16日,872.5,874.7,883.1,872.5,-,-0.25%
2011年12月15日,874.7,869.2,880,869.2,-,0.63%
2011年12月14日,869.2,889.1,889.1,869.2,-,-2.24%
2011年12月13日,889.1,879,894.9,876.8,-,1.15%
2011年12月12日,879,895.5,895.5,879,-,-1.84%
2011年12月9日,895.5,888.1,897.3,881.2,-,0.83%
2011年12月8日,888.1,898.3,907.8,888.1,-,-1.14%
2011年12月7日,898.3,901.9,912.1,890.4,-,-0.40%
2011年12月6日,901.9,901.7,905.8,894.3,-,0.02%
2011年12月5日,901.7,899.2,907.4,898.2,-,0.28%
2011年12月2日,899.2,889,906.2,889,-,1.15%
2011年12月1日,889,891.6,899.5,888.6,-,-0.29%
2011年11月30日,891.6,864.3,897,854.3,-,3.16%
2011年11月29日,864.3,860.4,865.5,853.9,-,0.45%
2011年11月28日,860.4,836.4,862.8,836.4,-,2.87%
2011年11月25日,836.4,830.4,842.2,821.9,-,0.72%
2011年11月24日,830.4,832.4,839.6,825.8,-,-0.24%
2011年11月23日,832.4,843.3,843.3,832.4,-,-1.29%
2011年11月22日,843.3,845.8,855.4,843.3,-,-0.30%
2011年11月21日,845.8,868.5,868.5,845.7,-,-2.61%
2011年11月18日,868.5,878.3,878.3,866.1,-,-1.12%
2011年11月17日,878.3,892.2,892.2,869,-,-1.56%
2011年11月16日,892.2,893.6,900.9,882.7,-,-0.16%
2011年11月15日,893.6,893.8,899.1,879.2,-,-0.02%
2011年11月14日,893.8,898.1,902.9,889,-,-0.48%
2011年11月11日,898.1,881.8,898.6,881,-,1.85%
2011年11月10日,881.8,884.3,890.3,868.1,-,-0.28%
2011年11月9日,884.3,901.6,909.5,878.8,-,-1.92%
2011年11月8日,901.6,892.5,909.5,892.3,-,1.02%
2011年11月7日,892.5,895.1,900.1,879.7,-,-0.29%
2011年11月4日,895.1,898.1,906.8,890,-,-0.33%
2011年11月3日,898.1,888.2,901.2,875,-,1.11%
2011年11月2日,888.2,878,889.6,871.8,-,1.16%
2011年11月1日,878,897.9,897.9,864.6,-,-2.22%
2011年10月31日,897.9,923.5,923.5,897.9,-,-2.77%
2011年10月28日,923.5,925.4,930.7,920.7,-,-0.21%
2011年10月27日,925.4,899.4,930.8,899.4,-,2.89%
2011年10月26日,899.4,894.9,903.1,890.5,-,0.50%
2011年10月25日,894.9,898.5,902.7,885.1,-,-0.40%
2011年10月24日,898.5,888.9,899.3,888.7,-,1.08%
2011年10月21日,888.9,872.1,890.8,872.1,-,1.93%
2011年10月20日,872.1,882.7,882.7,868.6,-,-1.20%
2011年10月19日,882.7,876.2,888.1,876.2,-,0.74%
2011年10月18日,876.2,880.5,880.5,866.2,-,-0.49%
2011年10月17日,880.5,885.3,897.8,875.4,-,-0.54%
2011年10月14日,885.3,875.1,891,873.8,-,1.17%
2011年10月13日,875.1,881.3,883.6,869.4,-,-0.70%
2011年10月12日,881.3,873.8,883.9,866.1,-,0.86%
2011年10月11日,873.8,874.4,874.4,863.3,-,-0.07%
2011年10月10日,874.4,858.9,876.7,858.9,-,1.80%
2011年10月7日,858.9,856.9,869.8,852.1,-,0.23%
2011年10月6日,856.9,826.3,856.9,826.3,-,3.70%
2011年10月5日,826.3,800.8,829.4,800.8,-,3.18%
2011年10月4日,800.8,822,822,788.5,-,-2.58%
2011年10月3日,822,830.6,830.6,807,-,-1.04%
2011年9月30日,830.6,841.6,841.7,820.9,-,-1.31%
2011年9月29日,841.6,845,850.3,835.8,-,-0.40%
2011年9月28日,845,857.4,860.7,840.7,-,-1.45%
2011年9月27日,857.4,824.2,857.4,824.2,-,4.03%
