日期,收市,開市,高,低,成交量,更改%
2020年12月31日,"1,040.20","1,038.00","1,045.90","1,034.20",-,-1.26%
2020年12月30日,"1,053.50","1,060.90","1,064.80","1,051.70",-,-0.74%
2020年12月29日,"1,061.40","1,060.40","1,073.70","1,059.00",-,1.56%
2020年12月24日,"1,045.10","1,047.50","1,049.50","1,041.00",-,0.15%
2020年12月23日,"1,043.50","1,035.20","1,044.30","1,033.50",-,0.56%
2020年12月22日,"1,037.70","1,026.80","1,038.50","1,025.50",-,0.57%
2020年12月21日,"1,031.80","1,034.30","1,041.40","1,014.80",-,-1.68%
2020年12月18日,"1,049.40","1,054.00","1,062.50","1,047.20",-,-0.38%
2020年12月17日,"1,053.40","1,062.50","1,062.50","1,052.70",-,-0.23%
2020年12月16日,"1,055.80","1,050.30","1,060.20","1,049.10",-,0.91%
2020年12月15日,"1,046.30","1,046.10","1,053.70","1,041.30",-,-0.24%
2020年12月14日,"1,048.80","1,052.80","1,057.60","1,048.00",-,-0.91%
2020年12月11日,"1,058.40","1,067.20","1,067.20","1,054.60",-,-0.81%
2020年12月10日,"1,067.00","1,067.30","1,074.00","1,061.00",-,0.53%
2020年12月9日,"1,061.40","1,065.60","1,071.20","1,061.40",-,0.08%
2020年12月8日,"1,060.50","1,054.30","1,062.20","1,054.00",-,0.03%
2020年12月7日,"1,060.20","1,062.90","1,067.40","1,054.20",-,0.12%
2020年12月4日,"1,058.90","1,053.20","1,060.60","1,052.90",-,0.95%
2020年12月3日,"1,048.90","1,042.80","1,049.70","1,039.50",-,0.42%
2020年12月2日,"1,044.50","1,029.90","1,045.80","1,028.80",-,1.14%
2020年12月1日,"1,032.70","1,017.20","1,034.50","1,016.70",-,2.01%
2020年11月30日,"1,012.40","1,025.40","1,035.80","1,011.00",-,-1.73%
2020年11月27日,"1,030.20","1,027.20","1,033.50","1,019.00",-,0.12%
2020年11月26日,"1,029.00","1,036.50","1,037.20","1,026.70",-,-0.36%
2020年11月25日,"1,032.70","1,043.30","1,045.30","1,029.80",-,-0.58%
2020年11月24日,"1,038.70","1,031.70","1,039.30","1,028.70",-,1.52%
2020年11月23日,"1,023.10","1,031.00","1,032.90","1,021.60",-,-0.33%
2020年11月20日,"1,026.50","1,023.50","1,033.20","1,021.50",-,0.25%
2020年11月19日,"1,023.90","1,021.50","1,025.70","1,020.20",-,-0.73%
2020年11月18日,"1,031.40","1,024.40","1,033.50","1,022.10",-,0.31%
2020年11月17日,"1,028.20","1,035.20","1,038.20","1,019.50",-,-0.91%
2020年11月16日,"1,037.60","1,029.00","1,044.80","1,023.10",-,1.65%
2020年11月13日,"1,020.80","1,016.80","1,024.40","1,015.10",-,-0.39%
2020年11月12日,"1,024.80","1,021.90","1,029.50","1,017.50",-,-0.51%
2020年11月11日,"1,030.10","1,017.40","1,032.80","1,015.60",-,1.39%
2020年11月10日,"1,016.00",999.1,"1,018.00",997.2,-,1.75%
2020年11月9日,998.5,964.4,"1,010.40",964.4,-,4.70%
2020年11月6日,953.7,951.4,960.2,945,-,0.10%
2020年11月5日,952.7,953.3,957.4,948.9,-,0.38%
2020年11月4日,949.1,920.2,949.9,919.1,-,1.73%
2020年11月3日,933,919.9,933.3,919.2,-,2.27%
2020年11月2日,912.3,901,913.5,895.8,-,1.38%
2020年10月30日,899.9,892.5,902.8,891.8,-,-0.02%
2020年10月29日,900.1,897.9,905.7,892,-,0.00%
2020年10月28日,900.1,912.1,914.4,890.3,-,-2.53%
2020年10月27日,923.5,935.4,936.2,923.1,-,-1.10%
2020年10月26日,933.8,932.7,946.1,931.8,-,-1.15%
2020年10月23日,944.7,932.7,949.1,932.3,-,1.29%
2020年10月22日,932.7,927.9,934.5,921.4,-,0.18%
2020年10月21日,931,951,952,929.8,-,-1.92%
2020年10月20日,949.2,946.9,953.9,944.8,-,0.02%
2020年10月19日,949,956.4,961,946.5,-,-0.59%
2020年10月16日,954.6,947.6,956.9,945.1,-,1.57%
2020年10月15日,939.8,946.9,947.4,932.4,-,-1.76%
2020年10月14日,956.6,967.5,969,955,-,-0.62%
2020年10月13日,962.6,968.4,968.4,959.1,-,-0.52%
2020年10月12日,967.6,968.1,973.2,966.2,-,-0.25%
2020年10月9日,970,966.9,973.8,965.8,-,0.66%
2020年10月8日,963.6,960.8,967.8,955.5,-,0.53%
2020年10月7日,958.5,960,963.1,955.5,-,-0.01%
2020年10月6日,958.6,959.4,962.5,951.2,-,0.04%
2020年10月5日,958.2,960.8,963.2,953.7,-,0.70%
2020年10月2日,951.5,938.4,951.5,935.8,-,0.37%
2020年10月1日,948,951.3,955.5,942.8,-,0.32%
2020年9月30日,945,944.8,955.7,943,-,-0.58%
2020年9月29日,950.5,954.6,955.2,944.2,-,-0.52%
2020年9月28日,955.5,953.1,959.6,951.2,-,1.50%
2020年9月25日,941.4,940.1,941.8,929.5,-,0.31%
2020年9月24日,938.5,938.9,949.9,935.1,-,-1.30%
2020年9月23日,950.9,951.5,962.9,945.6,-,1.26%
2020年9月22日,939.1,939.7,945.8,933,-,0.49%
2020年9月21日,934.5,958.9,959,930.6,-,-3.42%
2020年9月18日,967.6,975,977.9,967.4,-,-0.74%
2020年9月17日,974.8,969.2,978.9,966.5,-,-0.51%
2020年9月16日,979.8,981.5,986.3,976,-,-0.46%
2020年9月15日,984.3,973.2,987.4,971.6,-,1.33%
2020年9月14日,971.4,977.5,980,968.6,-,-0.56%
2020年9月11日,976.9,971.2,981.3,970.4,-,0.47%
2020年9月10日,972.3,972.2,976.6,963.5,-,-0.22%
2020年9月9日,974.4,959.5,977,959.5,-,1.50%
2020年9月8日,960,965.2,969.7,950.6,-,-0.12%
2020年9月7日,961.2,943.3,963.3,942.3,-,2.34%
2020年9月4日,939.2,939.9,956.2,935.5,-,-0.91%
2020年9月3日,947.8,966.8,971.6,945.3,-,-1.46%
2020年9月2日,961.8,956.2,967.4,953.7,-,1.43%
2020年9月1日,948.2,965.6,965.8,942.2,-,-1.74%
2020年8月28日,965,975,976.5,963.4,-,-0.72%
2020年8月27日,972,978.8,981.3,971.6,-,-0.65%
2020年8月26日,978.4,976.3,979.4,969.6,-,0.15%
2020年8月25日,976.9,991.9,999.6,976,-,-1.12%
2020年8月24日,988,980,990.8,980,-,1.54%
2020年8月21日,973,973.5,977,962.5,-,-0.06%
2020年8月20日,973.6,978,983.5,972.4,-,-1.48%
