日期,收市,開市,高,低,成交量,更改%
2020年7月1日,991.1,994,998,978.2,-,-0.19%
2020年6月30日,993,"1,000.90","1,005.00",988.9,-,-0.86%
2020年6月29日,"1,001.60",988.9,"1,006.10",985.1,-,0.99%
2020年6月26日,991.8,"1,000.00","1,007.90",991,-,0.29%
2020年6月25日,988.9,980.1,991.9,969.6,-,0.37%
2020年6月24日,985.3,"1,011.80","1,012.80",984.2,-,-3.14%
2020年6月23日,"1,017.20","1,011.10","1,020.60","1,006.50",-,1.26%
2020年6月22日,"1,004.50","1,004.00","1,015.40","1,001.10",-,-0.70%
2020年6月19日,"1,011.60","1,007.40","1,017.00","1,003.90",-,1.07%
2020年6月18日,"1,000.90","1,000.50","1,010.50",994.6,-,-0.60%
2020年6月17日,"1,006.90","1,008.90","1,015.90","1,003.20",-,0.16%
2020年6月16日,"1,005.30",999,"1,014.50",995.6,-,3.04%
2020年6月15日,975.6,961.6,978.3,956.6,-,-1.26%
2020年6月12日,988,972.1,"1,001.80",970.1,-,0.41%
2020年6月11日,984,"1,004.60","1,006.50",983.8,-,-3.84%
2020年6月10日,"1,023.30","1,025.80","1,034.00","1,018.50",-,-0.17%
2020年6月9日,"1,025.00","1,045.70","1,046.60","1,023.30",-,-2.10%
2020年6月8日,"1,047.00","1,042.20","1,054.30","1,039.80",-,-0.28%
2020年6月5日,"1,049.90","1,033.20","1,052.20","1,032.80",-,2.25%
2020年6月4日,"1,026.80","1,028.00","1,036.70","1,021.90",-,-0.66%
2020年6月3日,"1,033.60","1,016.10","1,035.30","1,014.10",-,2.64%
2020年6月2日,"1,007.00","1,003.00","1,010.00",999.5,-,0.84%
2020年6月1日,998.6,997.5,"1,000.00",988.4,-,1.67%
2020年5月29日,982.2,998.2,"1,002.00",979.3,-,-2.48%
2020年5月28日,"1,007.20","1,002.70","1,009.50",996.2,-,1.23%
2020年5月27日,995,986.9,998.7,985.5,-,1.34%
2020年5月26日,981.8,993.9,995.5,977.9,-,1.23%
2020年5月22日,969.9,959.2,972.5,953.1,-,-0.36%
2020年5月21日,973.4,974.7,986.4,971.4,-,-0.84%
2020年5月20日,981.6,965.8,983.1,963.8,-,1.12%
2020年5月19日,970.7,989,989,964.6,-,-0.84%
2020年5月18日,978.9,955,980.4,955,-,4.30%
2020年5月15日,938.5,936.6,945.7,931.2,-,1.07%
2020年5月14日,928.6,943,944.6,915.2,-,-2.56%
2020年5月13日,953,959.7,961.5,951,-,-1.55%
2020年5月12日,968,957.6,971.7,956.1,-,0.82%
2020年5月11日,960.1,968.4,969.7,952.9,-,0.06%
2020年5月7日,959.5,947.2,960.6,945.4,-,1.58%
2020年5月6日,944.6,945.2,951.8,942,-,0.04%
2020年5月5日,944.2,943,947.1,934.1,-,1.79%
2020年5月4日,927.6,929.4,934.9,920.5,-,-0.22%
2020年5月1日,929.6,935.2,936.9,926.2,-,-2.47%
2020年4月30日,953.1,994,994.1,951.6,-,-3.44%
2020年4月29日,987.1,962.5,990.1,961.7,-,2.63%
2020年4月28日,961.8,944.9,965.6,942.4,-,1.84%
2020年4月27日,944.4,942.4,946.4,935.6,-,1.64%
2020年4月24日,929.2,929.9,939,925.2,-,-1.23%
2020年4月23日,940.8,932,944,926.6,-,0.90%
2020年4月22日,932.4,917.6,935,916.4,-,2.39%
2020年4月21日,910.6,922.7,928.5,909.6,-,-3.15%
2020年4月20日,940.2,940.1,941.2,921.6,-,0.61%
