日期,收市,開市,高,低,成交量,更改%
2008年12月30日,"8,859.56","8,716.28","8,859.56","8,702.95",-,1.28%
2008年12月29日,"8,747.17","8,726.31","8,763.67","8,638.60",-,0.09%
2008年12月26日,"8,739.52","8,642.14","8,740.76","8,611.36",-,1.63%
2008年12月25日,"8,599.50","8,531.51","8,599.50","8,531.16",-,0.97%
2008年12月24日,"8,517.10","8,630.25","8,631.83","8,476.69",-,-2.37%
2008年12月22日,"8,723.78","8,602.50","8,751.18","8,593.76",-,1.57%
2008年12月19日,"8,588.52","8,640.22","8,743.22","8,570.56",-,-0.91%
2008年12月18日,"8,667.23","8,565.16","8,728.36","8,534.84",-,0.64%
2008年12月17日,"8,612.52","8,658.22","8,741.24","8,425.66",-,0.52%
2008年12月16日,"8,568.02","8,608.40","8,634.26","8,471.24",-,-1.12%
2008年12月15日,"8,664.66","8,349.85","8,700.17","8,349.85",-,5.21%
2008年12月12日,"8,235.87","8,599.12","8,610.73","8,087.99",-,-5.56%
2008年12月11日,"8,720.55","8,642.26","8,720.55","8,519.11",-,0.70%
2008年12月10日,"8,660.24","8,376.00","8,704.92","8,376.00",-,3.15%
2008年12月9日,"8,395.87","8,362.37","8,499.60","8,314.85",-,0.80%
2008年12月8日,"8,329.05","7,970.69","8,358.27","7,959.01",-,5.20%
2008年12月5日,"7,917.51","7,975.05","8,024.33","7,908.65",-,-0.08%
2008年12月4日,"7,924.24","8,030.20","8,107.69","7,849.84",-,-1.00%
2008年12月3日,"8,004.10","7,965.31","8,056.38","7,889.82",-,1.79%
2008年12月2日,"7,863.69","8,266.32","8,266.32","7,863.69",-,-6.35%
2008年12月1日,"8,397.22","8,464.36","8,464.36","8,307.28",-,-1.35%
2008年11月28日,"8,512.27","8,400.05","8,518.13","8,336.57",-,1.66%
2008年11月27日,"8,373.39","8,311.24","8,458.68","8,300.49",-,1.95%
2008年11月26日,"8,213.22","8,229.72","8,317.83","8,149.56",-,-1.33%
2008年11月25日,"8,323.93","8,026.06","8,356.83","8,025.69",-,5.22%
2008年11月21日,"7,910.79","7,600.35","7,994.68","7,406.18",-,2.70%
2008年11月20日,"7,703.04","8,149.77","8,149.79","7,703.04",-,-6.89%
2008年11月19日,"8,273.22","8,309.35","8,370.09","8,115.71",-,-0.66%
2008年11月18日,"8,328.41","8,415.60","8,440.41","8,302.24",-,-2.28%
2008年11月17日,"8,522.58","8,366.88","8,767.98","8,218.82",-,0.71%
2008年11月14日,"8,462.39","8,378.13","8,689.85","8,378.13",-,2.72%
2008年11月13日,"8,238.64","8,564.47","8,564.47","8,148.30",-,-5.25%
2008年11月12日,"8,695.51","8,694.91","8,782.48","8,574.20",-,-1.29%
2008年11月11日,"8,809.30","8,965.29","9,056.31","8,704.56",-,-3.00%
2008年11月10日,"9,081.43","8,711.99","9,106.29","8,711.99",-,5.81%
2008年11月7日,"8,583.00","8,774.49","8,868.10","8,266.09",-,-3.55%
2008年11月6日,"8,899.14","9,373.65","9,380.30","8,806.71",-,-6.53%
2008年11月5日,"9,521.24","9,224.05","9,521.24","9,216.30",-,4.46%
2008年11月4日,"9,114.60","8,702.77","9,142.29","8,699.77",-,6.27%
2008年10月31日,"8,576.98","8,958.22","9,012.31","8,576.98",-,-5.01%
2008年10月30日,"9,029.76","8,269.71","9,030.85","8,269.71",-,9.96%
2008年10月29日,"8,211.90","7,741.52","8,211.90","7,741.52",-,7.74%
2008年10月28日,"7,621.92","7,143.34","7,626.42","6,994.90",-,6.41%
2008年10月27日,"7,162.90","7,568.36","7,878.97","7,141.27",-,-6.36%
2008年10月24日,"7,649.08","8,391.04","8,391.04","7,647.07",-,-9.60%
2008年10月23日,"8,460.98","8,547.79","8,547.79","8,016.61",-,-2.46%
2008年10月22日,"8,674.69","9,198.14","9,198.14","8,674.69",-,-6.79%
2008年10月21日,"9,306.25","9,139.26","9,358.51","9,135.41",-,3.34%
2008年10月20日,"9,005.59","8,775.24","9,038.45","8,687.70",-,3.59%
2008年10月17日,"8,693.82","8,579.57","8,763.71","8,539.51",-,2.78%
2008年10月16日,"8,458.45","9,400.85","9,400.85","8,458.45",-,-11.41%
2008年10月15日,"9,547.47","9,390.50","9,601.30","9,269.49",-,1.06%
2008年10月14日,"9,447.57","8,407.94","9,455.62","8,407.94",-,14.15%
2008年10月10日,"8,276.43","9,016.34","9,016.34","8,115.41",-,-9.62%
2008年10月9日,"9,157.49","9,168.16","9,443.45","9,100.93",-,-0.50%
2008年10月8日,"9,203.32","10,011.64","10,011.64","9,159.81",-,-9.38%
2008年10月7日,"10,155.90","10,328.54","10,363.14","9,916.21",-,-3.03%
2008年10月6日,"10,473.09","10,817.27","10,839.50","10,374.38",-,-4.25%
2008年10月3日,"10,938.14","11,052.10","11,099.73","10,938.14",-,-1.94%
2008年10月2日,"11,154.76","11,423.13","11,452.39","11,143.79",-,-1.88%
2008年10月1日,"11,368.26","11,396.61","11,456.64","11,314.28",-,0.96%
2008年9月30日,"11,259.86","11,565.70","11,565.70","11,160.83",-,-4.12%
2008年9月29日,"11,743.61","11,883.25","12,062.67","11,721.05",-,-1.26%
2008年9月26日,"11,893.16","12,026.34","12,082.64","11,788.73",-,-0.94%
2008年9月25日,"12,006.53","11,925.71","12,025.41","11,835.28",-,-0.90%
2008年9月24日,"12,115.03","12,031.98","12,115.03","11,904.60",-,0.20%
2008年9月22日,"12,090.59","12,037.89","12,263.95","12,037.89",-,1.42%
2008年9月19日,"11,920.86","11,631.60","11,920.86","11,615.20",-,3.76%
2008年9月18日,"11,489.30","11,576.94","11,577.88","11,301.46",-,-2.22%
2008年9月17日,"11,749.79","11,737.62","11,880.03","11,708.70",-,1.21%
2008年9月16日,"11,609.72","12,028.45","12,028.45","11,551.40",-,-4.95%
