日期,收市,開市,高,低,成交量,更改%
2006年6月30日,"15,505.18","15,333.10","15,521.22","15,333.10",-,2.54%
2006年6月29日,"15,121.15","14,981.70","15,137.58","14,975.78",-,1.58%
2006年6月28日,"14,886.11","14,998.01","14,998.01","14,824.80",-,-1.88%
2006年6月27日,"15,171.81","15,165.63","15,207.38","15,095.11",-,0.13%
2006年6月26日,"15,152.40","15,080.23","15,216.78","14,987.77",-,0.19%
2006年6月23日,"15,124.04","15,001.77","15,126.52","14,865.57",-,-0.08%
2006年6月22日,"15,135.69","14,812.17","15,138.47","14,812.17",-,3.36%
2006年6月21日,"14,644.26","14,712.86","14,713.43","14,482.96",-,-0.03%
2006年6月20日,"14,648.41","14,811.11","14,845.71","14,621.87",-,-1.43%
2006年6月19日,"14,860.35","14,815.86","14,918.60","14,772.14",-,-0.13%
2006年6月16日,"14,879.34","14,679.35","14,976.67","14,679.35",-,2.82%
2006年6月15日,"14,470.76","14,453.33","14,593.85","14,417.70",-,1.13%
2006年6月14日,"14,309.56","14,084.52","14,458.82","14,045.53",-,0.64%
2006年6月13日,"14,218.60","14,650.59","14,658.23","14,218.60",-,-4.14%
2006年6月12日,"14,833.01","14,685.46","14,845.04","14,580.87",-,0.56%
2006年6月9日,"14,750.84","14,530.50","14,825.48","14,389.31",-,0.81%
2006年6月8日,"14,633.03","14,990.04","14,990.04","14,496.96",-,-3.07%
2006年6月7日,"15,096.01","15,285.05","15,433.29","15,095.15",-,-1.88%
2006年6月6日,"15,384.86","15,500.92","15,507.78","15,340.93",-,-1.81%
2006年6月5日,"15,668.31","15,719.31","15,784.95","15,622.75",-,-0.77%
2006年6月2日,"15,789.31","15,600.28","15,789.31","15,266.97",-,1.84%
2006年6月1日,"15,503.74","15,603.25","15,655.00","15,417.51",-,0.24%
2006年5月31日,"15,467.33","15,660.87","15,660.87","15,442.53",-,-2.47%
2006年5月30日,"15,859.45","15,920.79","15,937.91","15,814.83",-,-0.35%
