日期,收市,開市,高,低,成交量,更改%
2016年11月30日,71.7,71.7,71.9,71.5,1.92B,0.07%
2016年11月29日,71.65,71.9,72,71.65,1.42B,-0.14%
2016年11月28日,71.75,71.35,72,71.35,2.65B,0.56%
2016年11月25日,71.35,71.35,71.65,71.25,2.65B,-0.07%
2016年11月24日,71.4,71.6,71.6,71.2,2.30B,-0.56%
2016年11月23日,71.8,71.5,71.9,71.45,1.91B,0.49%
2016年11月22日,71.45,70.75,71.65,70.75,5.29B,1.35%
2016年11月21日,70.5,70.3,70.5,70.1,2.65B,0.14%
2016年11月18日,70.4,70.1,70.4,69.9,2.12B,0.28%
2016年11月17日,70.2,70,70.2,69.75,3.31B,0.29%
2016年11月16日,70,70.2,70.5,69.95,24.75B,0.14%
2016年11月15日,69.9,69.8,70.1,69.75,4.02B,-0.29%
2016年11月14日,70.1,69.95,70.3,69.45,7.12B,0.07%
2016年11月11日,70.05,70.35,70.7,69.95,8.38B,-2.71%
2016年11月10日,72,71.8,72.1,71.75,6.70B,2.86%
2016年11月9日,70,72.85,73.05,70,19.94B,-3.25%
2016年11月8日,72.35,72.15,72.4,72,2.69B,0.49%
2016年11月7日,72,71.8,72,71.45,3.24B,1.41%
2016年11月4日,71,71,71.2,70.85,4.35B,-0.28%
2016年11月3日,71.2,71.45,71.6,71.1,4.55B,-0.77%
2016年11月2日,71.75,71.95,72,71.6,5.50B,-1.17%
2016年11月1日,72.6,72.25,72.6,72.1,2.02B,0.00%
