日期,收市,開市,高,低,成交量,更改%
2010年12月31日,"2,808.08","2,759.16","2,808.93","2,758.13",8.34B,1.76%
2010年12月30日,"2,759.58","2,751.97","2,768.13","2,724.54",7.32B,0.29%
2010年12月29日,"2,751.53","2,735.48","2,753.03","2,721.48",6.39B,0.68%
2010年12月28日,"2,732.99","2,768.03","2,775.15","2,730.41",8.43B,-1.74%
2010年12月27日,"2,781.40","2,842.81","2,876.81","2,774.54",9.78B,-1.90%
2010年12月24日,"2,835.16","2,841.35","2,853.49","2,813.50",8.12B,-0.70%
2010年12月23日,"2,855.22","2,874.20","2,893.71","2,849.84",8.90B,-0.79%
2010年12月22日,"2,877.90","2,910.73","2,917.20","2,867.05",9.83B,-0.90%
2010年12月21日,"2,904.11","2,857.59","2,908.17","2,846.63",10.68B,1.79%
2010年12月20日,"2,852.92","2,901.47","2,911.56","2,804.56",11.38B,-1.41%
2010年12月17日,"2,893.74","2,896.77","2,898.81","2,881.00",7.37B,-0.15%
2010年12月16日,"2,898.14","2,908.87","2,921.27","2,891.86",8.76B,-0.46%
2010年12月15日,"2,911.41","2,927.26","2,939.05","2,905.65",10.95B,-0.54%
2010年12月14日,"2,927.08","2,928.30","2,933.41","2,912.42",12.09B,0.14%
2010年12月13日,"2,922.95","2,850.33","2,923.77","2,847.66",12.89B,2.88%
2010年12月10日,"2,841.04","2,798.74","2,850.42","2,792.52",8.05B,1.07%
2010年12月9日,"2,810.95","2,837.61","2,854.70","2,808.51",9.46B,-1.32%
2010年12月8日,"2,848.55","2,868.73","2,880.56","2,843.94",8.67B,-0.95%
2010年12月7日,"2,875.86","2,843.77","2,884.53","2,809.11",8.68B,0.65%
2010年12月6日,"2,857.18","2,850.38","2,871.41","2,831.70",8.98B,0.52%
2010年12月3日,"2,842.43","2,846.72","2,853.40","2,822.74",8.35B,-0.04%
2010年12月2日,"2,843.61","2,860.46","2,870.81","2,841.47",10.42B,0.71%
2010年12月1日,"2,823.45","2,810.54","2,834.20","2,795.81",8.13B,0.12%
2010年11月30日,"2,820.18","2,863.41","2,881.16","2,758.92",13.93B,-1.61%
2010年11月29日,"2,866.36","2,861.15","2,878.83","2,841.80",10.25B,-0.19%
2010年11月26日,"2,871.70","2,890.29","2,894.42","2,851.96",11.09B,-0.92%
2010年11月25日,"2,898.26","2,875.86","2,901.67","2,856.96",13.16B,1.34%
2010年11月24日,"2,859.94","2,794.86","2,861.48","2,794.86",11.62B,1.12%
2010年11月23日,"2,828.28","2,872.17","2,872.17","2,791.58",11.63B,-1.94%
2010年11月22日,"2,884.37","2,861.61","2,904.97","2,852.77",12.71B,-0.15%
2010年11月19日,"2,888.57","2,879.65","2,888.75","2,806.64",12.38B,0.81%
2010年11月18日,"2,865.45","2,855.61","2,873.70","2,827.18",10.22B,0.94%
2010年11月17日,"2,838.86","2,852.48","2,891.05","2,824.12",12.38B,-1.92%
2010年11月16日,"2,894.54","3,007.64","3,007.64","2,885.75",17.11B,-3.98%
2010年11月15日,"3,014.41","2,984.87","3,016.13","2,939.68",15.32B,0.97%
2010年11月12日,"2,985.43","3,121.92","3,150.15","2,975.16",23.31B,-5.16%
2010年11月11日,"3,147.74","3,108.51","3,186.72","3,102.77",21.03B,1.04%
2010年11月10日,"3,115.36","3,120.44","3,124.26","3,093.88",18.51B,-0.63%
2010年11月9日,"3,135.00","3,159.02","3,159.02","3,110.34",19.25B,-0.78%
2010年11月8日,"3,159.51","3,140.40","3,160.70","3,124.09",20.54B,0.96%
2010年11月5日,"3,129.50","3,129.87","3,142.59","3,105.92",21.20B,1.38%
2010年11月4日,"3,086.94","3,035.37","3,087.42","3,035.37",17.69B,1.85%
2010年11月3日,"3,030.99","3,044.02","3,069.07","3,017.10",18.98B,-0.47%
2010年11月2日,"3,045.43","3,061.63","3,089.57","3,029.32",22.49B,-0.28%
2010年11月1日,"3,054.02","2,986.89","3,054.05","2,986.89",18.62B,2.52%
2010年10月29日,"2,978.83","2,993.30","2,996.77","2,955.48",14.71B,-0.46%
2010年10月28日,"2,992.58","2,989.29","3,007.01","2,969.30",14.35B,-0.15%
2010年10月27日,"2,997.05","3,031.65","3,056.40","2,988.87",17.63B,-1.46%
2010年10月26日,"3,041.54","3,065.84","3,073.38","3,017.82",19.88B,-0.32%
2010年10月25日,"3,051.42","2,979.71","3,051.54","2,959.30",19.21B,2.57%
2010年10月22日,"2,975.04","2,976.75","2,997.62","2,954.62",14.71B,-0.28%
2010年10月21日,"2,983.53","3,009.22","3,018.24","2,958.55",16.14B,-0.68%
2010年10月20日,"3,003.95","2,947.51","3,041.15","2,942.50",20.78B,0.07%
2010年10月19日,"3,001.85","2,949.63","3,002.37","2,931.91",17.07B,1.58%
2010年10月18日,"2,955.23","2,985.46","3,026.10","2,944.71",26.33B,-0.54%
2010年10月15日,"2,971.16","2,863.74","2,971.16","2,858.22",23.66B,3.18%
2010年10月14日,"2,879.64","2,881.55","2,919.41","2,864.52",22.95B,0.64%
2010年10月13日,"2,861.36","2,842.14","2,862.03","2,826.22",18.53B,0.70%
2010年10月12日,"2,841.41","2,795.76","2,843.43","2,782.34",16.74B,1.23%
2010年10月11日,"2,806.94","2,755.03","2,823.60","2,755.03",20.75B,2.49%
2010年10月8日,"2,738.74","2,681.25","2,747.80","2,677.99",13.58B,3.13%
2010年9月30日,"2,655.66","2,599.71","2,656.00","2,597.60",8.96B,1.72%
2010年9月29日,"2,610.68","2,608.92","2,634.12","2,603.93",8.86B,-0.03%
2010年9月28日,"2,611.35","2,625.33","2,625.33","2,607.02",9.31B,-0.63%
2010年9月27日,"2,627.97","2,600.54","2,629.05","2,597.14",7.68B,1.41%
2010年9月21日,"2,591.55","2,593.76","2,601.10","2,580.18",5.81B,0.11%
2010年9月20日,"2,588.71","2,601.48","2,607.35","2,573.63",7.95B,-0.38%
2010年9月17日,"2,598.69","2,607.55","2,615.08","2,592.53",8.32B,-0.15%
2010年9月16日,"2,602.47","2,646.92","2,653.27","2,583.34",11.90B,-1.89%
2010年9月15日,"2,652.50","2,688.39","2,688.49","2,645.86",12.20B,-1.34%
2010年9月14日,"2,688.52","2,694.07","2,703.78","2,678.97",12.07B,0.01%
2010年9月13日,"2,688.32","2,665.66","2,696.67","2,660.61",11.79B,0.94%
2010年9月10日,"2,663.21","2,657.24","2,667.84","2,628.83",11.30B,0.26%
2010年9月9日,"2,656.35","2,698.64","2,698.64","2,651.60",13.30B,-1.44%
2010年9月8日,"2,695.29","2,687.71","2,695.84","2,674.32",11.35B,-0.11%
2010年9月7日,"2,698.36","2,698.22","2,704.93","2,679.02",11.22B,0.08%
2010年9月6日,"2,696.25","2,667.20","2,698.60","2,664.24",14.42B,1.54%
2010年9月3日,"2,655.39","2,658.13","2,660.54","2,631.85",12.95B,-0.01%
2010年9月2日,"2,655.78","2,646.89","2,659.98","2,636.42",12.41B,1.25%
2010年9月1日,"2,622.88","2,641.05","2,662.88","2,604.49",12.72B,-0.60%
2010年8月31日,"2,638.80","2,644.79","2,647.25","2,626.79",11.09B,-0.52%
2010年8月30日,"2,652.66","2,622.27","2,656.36","2,620.19",11.05B,1.61%
2010年8月27日,"2,610.74","2,602.50","2,613.49","2,588.64",7.05B,0.28%
