日期,收市,開市,高,低,成交量,更改%
2003年12月31日,"12,575.94","12,529.83","12,631.69","12,529.43",-,0.39%
2003年12月30日,"12,526.74","12,560.34","12,643.80","12,504.97",-,0.50%
2003年12月29日,"12,464.29","12,443.56","12,466.40","12,336.73",-,0.06%
2003年12月24日,"12,456.70","12,468.73","12,507.28","12,446.61",-,0.29%
2003年12月23日,"12,420.51","12,515.50","12,545.04","12,416.01",-,-0.54%
2003年12月22日,"12,487.99","12,422.32","12,498.88","12,405.64",-,0.94%
2003年12月19日,"12,371.75","12,385.19","12,443.97","12,299.70",-,1.07%
2003年12月18日,"12,240.25","12,225.78","12,310.44","12,163.20",-,0.39%
2003年12月17日,"12,193.12","12,315.23","12,337.57","12,111.23",-,-0.55%
2003年12月16日,"12,260.33","12,400.85","12,456.01","12,166.98",-,-2.08%
2003年12月15日,"12,520.17","12,705.42","12,740.50","12,504.29",-,-0.59%
2003年12月12日,"12,594.42","12,631.63","12,674.08","12,566.28",-,0.32%
2003年12月11日,"12,554.58","12,343.89","12,590.23","12,337.82",-,1.26%
2003年12月10日,"12,398.38","12,321.59","12,428.49","12,310.09",-,0.04%
2003年12月9日,"12,393.64","12,244.66","12,418.78","12,227.84",-,1.78%
2003年12月8日,"12,177.44","12,214.19","12,214.61","12,124.00",-,-1.11%
2003年12月5日,"12,314.73","12,309.57","12,367.15","12,236.24",-,-0.23%
2003年12月4日,"12,342.65","12,379.94","12,400.60","12,286.65",-,-0.15%
2003年12月3日,"12,361.18","12,386.01","12,480.60","12,334.05",-,-0.41%
2003年12月2日,"12,412.23","12,526.23","12,539.00","12,403.68",-,-0.36%
2003年12月1日,"12,456.99","12,306.26","12,481.28","12,306.26",-,1.13%
2003年11月28日,"12,317.47","12,108.79","12,339.94","12,091.53",-,2.00%
2003年11月27日,"12,075.99","12,075.97","12,131.69","12,015.39",-,-0.09%
2003年11月26日,"12,086.67","12,010.71","12,099.15","11,943.94",-,0.65%
2003年11月25日,"12,008.07","12,006.31","12,064.75","11,974.01",-,1.35%
2003年11月24日,"11,848.56","11,854.97","11,889.47","11,793.82",-,0.07%
2003年11月21日,"11,839.80","11,718.51","11,840.19","11,661.47",-,-0.05%
2003年11月20日,"11,845.41","11,926.04","11,949.29","11,807.30",-,-0.23%
2003年11月19日,"11,872.99","11,839.30","11,913.35","11,797.67",-,-1.28%
2003年11月18日,"12,027.26","11,966.96","12,049.53","11,828.65",-,0.25%
2003年11月17日,"11,997.02","11,950.48","12,010.42","11,911.85",-,-1.69%
2003年11月14日,"12,203.53","12,219.58","12,267.09","12,164.27",-,-0.20%
2003年11月13日,"12,227.57","12,116.86","12,234.85","12,082.52",-,2.14%
2003年11月12日,"11,971.48","12,021.36","12,060.14","11,872.44",-,-0.27%
2003年11月11日,"12,003.62","12,011.36","12,105.27","11,946.53",-,-1.26%
2003年11月10日,"12,156.68","12,224.79","12,281.35","12,070.01",-,-0.48%
2003年11月7日,"12,215.17","12,205.19","12,256.42","12,129.16",-,0.54%
2003年11月6日,"12,150.09","12,341.04","12,381.23","12,059.97",-,-2.32%
2003年11月5日,"12,438.92","12,391.74","12,470.91","12,330.57",-,-0.01%
2003年11月4日,"12,440.72","12,503.58","12,537.19","12,406.64",-,0.44%
2003年11月3日,"12,386.81","12,222.44","12,412.18","12,222.44",-,1.61%
2003年10月31日,"12,190.10","12,139.97","12,205.84","12,065.64",-,0.38%
2003年10月30日,"12,143.35","12,202.46","12,202.46","11,989.01",-,0.11%
2003年10月29日,"12,130.51","12,294.91","12,304.57","12,117.00",-,0.32%
2003年10月28日,"12,091.88","11,844.02","12,123.73","11,844.02",-,2.91%
2003年10月27日,"11,749.72","11,749.87","11,803.18","11,678.20",-,0.11%
2003年10月24日,"11,736.37","11,792.87","11,819.20","11,558.11",-,-0.01%
2003年10月23日,"11,737.18","12,027.91","12,051.14","11,712.14",-,-4.10%
2003年10月22日,"12,238.63","12,240.54","12,283.88","12,199.23",-,-0.10%
2003年10月21日,"12,250.69","12,190.08","12,297.46","12,161.25",-,0.85%
2003年10月20日,"12,147.89","11,985.40","12,156.75","11,958.47",-,0.86%
2003年10月17日,"12,044.49","12,070.72","12,088.62","11,915.41",-,0.14%
2003年10月16日,"12,027.57","12,041.83","12,104.89","11,952.02",-,-0.24%
2003年10月15日,"12,056.18","11,900.00","12,056.75","11,884.71",-,1.69%
2003年10月14日,"11,856.02","12,065.35","12,065.35","11,834.21",-,-0.89%
2003年10月13日,"11,961.97","11,957.38","11,992.91","11,831.58",-,0.22%
2003年10月10日,"11,935.83","11,943.51","11,958.39","11,831.96",-,1.15%
2003年10月9日,"11,800.37","11,762.26","11,821.18","11,710.08",-,0.68%
2003年10月8日,"11,720.80","11,754.71","11,885.24","11,648.61",-,-0.03%
2003年10月7日,"11,723.92","11,709.24","11,737.03","11,624.37",-,-0.09%
2003年10月6日,"11,734.48","11,715.91","11,838.24","11,715.60",-,1.08%
2003年10月3日,"11,608.72","11,581.51","11,652.40","11,541.68",-,0.54%
2003年10月2日,"11,546.12","11,372.53","11,548.44","11,372.53",-,2.82%
2003年9月30日,"11,229.87","11,227.04","11,325.96","11,196.98",-,0.80%
2003年9月29日,"11,141.28","11,256.06","11,256.06","11,104.34",-,-1.32%
2003年9月26日,"11,290.15","11,302.15","11,345.00","11,215.71",-,0.03%
2003年9月25日,"11,286.52","11,273.12","11,444.72","11,230.24",-,-0.08%
2003年9月24日,"11,295.89","11,008.43","11,298.96","11,008.43",-,3.21%
2003年9月23日,"10,944.36","10,877.95","10,998.19","10,841.71",-,0.65%
