日期,收市,開市,高,低,成交量,更改%
2015年12月31日,"21,914.40","21,892.25","21,970.33","21,864.12",525.97M,0.15%
2015年12月30日,"21,882.15","22,094.59","22,114.56","21,868.03",1.09B,-0.53%
2015年12月29日,"21,999.62","21,923.27","22,024.28","21,881.71",790.49M,0.36%
2015年12月28日,"21,919.62","22,151.73","22,151.73","21,880.51",901.16M,-0.99%
2015年12月24日,"22,138.13","22,207.82","22,217.45","22,128.72",734.83M,0.44%
2015年12月23日,"22,040.59","21,869.40","22,103.63","21,846.48",1.09B,0.96%
2015年12月22日,"21,830.02","21,846.90","21,870.31","21,750.74",945.08M,0.18%
2015年12月21日,"21,791.68","21,641.17","21,871.22","21,641.17",1.34B,0.17%
2015年12月18日,"21,755.56","21,656.56","21,956.49","21,625.82",1.83B,-0.53%
2015年12月17日,"21,872.06","21,841.09","22,005.19","21,763.76",1.65B,0.79%
2015年12月16日,"21,701.21","21,557.73","21,772.79","21,557.73",1.70B,2.01%
2015年12月15日,"21,274.37","21,215.54","21,442.21","21,215.54",1.62B,-0.17%
2015年12月14日,"21,309.85","21,063.28","21,378.19","21,010.26",1.77B,-0.72%
2015年12月11日,"21,464.05","21,719.17","21,731.39","21,440.70",1.44B,-1.11%
2015年12月10日,"21,704.61","21,714.23","21,880.19","21,668.12",1.64B,-0.45%
2015年12月9日,"21,803.76","21,773.77","21,872.33","21,755.69",1.41B,-0.46%
2015年12月8日,"21,905.13","22,058.55","22,058.55","21,765.62",1.87B,-1.34%
2015年12月7日,"22,203.22","22,336.32","22,352.25","22,200.55",1.33B,-0.15%
2015年12月4日,"22,235.89","22,142.11","22,242.49","22,108.46",1.66B,-0.81%
2015年12月3日,"22,417.01","22,327.04","22,485.25","22,327.04",1.31B,-0.28%
2015年12月2日,"22,479.69","22,471.35","22,563.47","22,368.66",1.72B,0.44%
2015年12月1日,"22,381.35","22,197.81","22,477.51","22,143.57",2.05B,1.75%
2015年11月30日,"21,996.42","21,974.81","22,195.25","21,907.35",2.93B,-0.33%
2015年11月27日,"22,068.32","22,555.42","22,555.42","22,051.01",2.11B,-1.87%
2015年11月26日,"22,488.94","22,749.60","22,787.50","22,453.69",1.16B,-0.04%
2015年11月25日,"22,498.00","22,533.53","22,617.21","22,436.01",1.56B,-0.40%
2015年11月24日,"22,587.63","22,593.09","22,629.75","22,433.51",1.23B,-0.35%
2015年11月23日,"22,665.90","22,760.05","22,802.71","22,619.68",1.11B,-0.39%
2015年11月20日,"22,754.72","22,510.45","22,790.07","22,412.03",1.27B,1.13%
2015年11月19日,"22,500.22","22,423.88","22,559.06","22,416.00",1.42B,1.41%
2015年11月18日,"22,188.26","22,331.77","22,349.73","22,163.28",1.25B,-0.34%
2015年11月17日,"22,264.25","22,315.18","22,497.33","22,243.96",1.68B,1.15%
2015年11月16日,"22,010.82","21,958.28","22,127.38","21,958.28",1.87B,-1.72%
2015年11月13日,"22,396.14","22,494.09","22,519.33","22,318.62",2.06B,-2.15%
2015年11月12日,"22,888.92","22,477.60","22,980.97","22,454.96",1.90B,2.40%
2015年11月11日,"22,352.17","22,394.15","22,479.46","22,324.41",1.46B,-0.22%
2015年11月10日,"22,401.70","22,505.70","22,534.92","22,339.69",1.85B,-1.43%
2015年11月9日,"22,726.77","22,753.51","22,970.83","22,689.26",1.59B,-0.61%
2015年11月6日,"22,867.33","22,914.20","22,922.79","22,791.91",1.44B,-0.80%
2015年11月5日,"23,051.04","23,045.10","23,180.27","22,960.62",1.55B,-0.01%
2015年11月4日,"23,053.57","22,737.44","23,342.07","22,737.44",2.68B,2.15%
2015年11月3日,"22,568.43","22,603.15","22,697.00","22,560.17",1.52B,0.89%
2015年11月2日,"22,370.04","22,502.28","22,605.80","22,332.71",1.69B,-1.19%
2015年10月30日,"22,640.04","22,785.86","22,847.16","22,612.56",1.58B,-0.79%
2015年10月29日,"22,819.94","23,054.53","23,054.53","22,811.32",1.81B,-0.60%
2015年10月28日,"22,956.57","23,070.70","23,120.25","22,923.66",1.42B,-0.80%
2015年10月27日,"23,142.73","23,053.12","23,143.88","22,885.22",1.58B,0.11%
2015年10月26日,"23,116.25","23,423.64","23,423.64","23,066.94",1.51B,-0.15%
2015年10月23日,"23,151.94","23,220.38","23,220.38","23,088.03",1.54B,1.34%
2015年10月22日,"22,845.37","22,795.58","22,869.59","22,727.59",1.42B,-0.63%
2015年10月20日,"22,989.22","22,991.60","23,057.93","22,843.04",1.26B,-0.37%
2015年10月19日,"23,075.61","23,085.61","23,100.66","22,913.60",1.30B,0.04%
2015年10月16日,"23,067.37","23,133.59","23,178.14","22,953.56",1.98B,0.78%
2015年10月15日,"22,888.17","22,667.42","22,940.25","22,567.65",1.98B,2.00%
2015年10月14日,"22,439.91","22,398.82","22,576.50","22,356.56",1.39B,-0.71%
2015年10月13日,"22,600.46","22,677.60","22,798.90","22,515.73",1.76B,-0.57%
2015年10月12日,"22,730.93","22,614.33","22,779.50","22,562.26",1.93B,1.21%
2015年10月9日,"22,458.80","22,615.94","22,807.86","22,440.88",2.48B,0.46%
2015年10月8日,"22,354.91","22,588.69","22,588.69","22,201.11",1.99B,-0.71%
2015年10月7日,"22,515.76","21,884.73","22,527.79","21,817.42",3.02B,3.13%
2015年10月6日,"21,831.62","22,169.10","22,169.10","21,719.29",1.67B,-0.10%
2015年10月5日,"21,854.50","21,930.97","21,980.84","21,739.90",1.51B,1.62%
2015年10月2日,"21,506.09","21,172.94","21,530.80","21,130.11",2.23B,3.17%
2015年9月30日,"20,846.30","20,795.93","20,939.39","20,683.11",2.20B,1.41%
2015年9月29日,"20,556.60","20,579.22","20,579.22","20,368.12",2.62B,-2.97%
2015年9月25日,"21,186.32","21,070.39","21,318.33","20,957.99",1.78B,0.43%
2015年9月24日,"21,095.98","21,304.90","21,363.21","21,053.50",1.65B,-0.97%
2015年9月23日,"21,302.91","21,529.47","21,577.45","21,008.61",2.38B,-2.26%
2015年9月22日,"21,796.58","21,794.34","22,111.67","21,768.98",1.48B,0.18%
2015年9月21日,"21,756.93","21,614.43","21,778.06","21,590.70",1.42B,-0.75%
2015年9月18日,"21,920.83","21,807.25","22,052.11","21,807.25",2.12B,0.30%
2015年9月17日,"21,854.63","22,172.68","22,203.36","21,718.71",2.18B,-0.51%
2015年9月16日,"21,966.66","21,731.34","22,103.06","21,608.50",2.14B,2.38%
2015年9月15日,"21,455.23","21,527.53","21,634.48","21,411.17",1.39B,-0.49%
2015年9月14日,"21,561.90","21,678.88","21,762.15","21,441.71",1.52B,0.27%
