日期,收市,開市,高,低,成交量,更改%
2018年9月18日,"3,267.20","3,205.80","3,282.40","3,197.00",32.12K,1.79%
2018年9月17日,"3,209.80","3,218.80","3,228.40","3,199.20",22.69K,-0.97%
2018年9月14日,"3,241.20","3,244.40","3,253.00","3,227.40",25.23K,0.43%
2018年9月13日,"3,227.40","3,244.80","3,255.80","3,194.40",31.76K,0.77%
2018年9月12日,"3,202.80","3,212.80","3,227.40","3,191.00",26.70K,-0.39%
2018年9月11日,"3,215.40","3,228.60","3,247.40","3,203.20",26.26K,-0.35%
2018年9月10日,"3,226.60","3,267.80","3,274.40","3,220.00",24.93K,-1.18%
2018年9月7日,"3,265.00","3,267.00","3,316.40","3,237.00",30.88K,0.28%
2018年9月6日,"3,256.00","3,275.20","3,307.20","3,241.40",27.96K,-1.13%
2018年9月5日,"3,293.20","3,344.60","3,348.00","3,277.80",27.76K,-2.03%
2018年9月4日,"3,361.60","3,314.00","3,372.80","3,298.20",29.10K,1.60%
2018年9月3日,"3,308.60","3,310.20","3,319.80","3,276.00",24.83K,-0.40%
2018年8月31日,"3,322.00","3,325.00","3,353.00","3,297.00",28.02K,-0.65%
2018年8月30日,"3,343.60","3,381.20","3,394.60","3,336.00",23.15K,-0.92%
2018年8月29日,"3,374.80","3,382.00","3,388.80","3,366.00",19.95K,-0.33%
2018年8月28日,"3,386.00","3,403.20","3,413.00","3,379.20",21.74K,-0.24%
2018年8月27日,"3,394.20","3,330.00","3,399.60","3,327.00",27.58K,2.36%
2018年8月24日,"3,315.80","3,292.00","3,346.20","3,273.00",29.79K,0.05%
2018年8月23日,"3,314.00","3,305.00","3,333.60","3,261.60",32.45K,0.66%
2018年8月22日,"3,292.20","3,301.40","3,306.00","3,280.20",22.70K,-0.47%
2018年8月21日,"3,307.60","3,257.00","3,330.00","3,251.00",30.23K,2.04%
2018年8月20日,"3,241.60","3,213.40","3,256.20","3,199.20",30.37K,-0.22%
2018年8月17日,"3,248.70","3,303.40","3,318.00","3,247.00",7.22K,-0.99%
2018年8月16日,"3,281.20","3,247.20","3,325.00","3,225.60",17.61K,-0.15%
2018年8月15日,"3,286.20","3,366.60","3,369.20","3,277.40",20.54K,-2.21%
2018年8月14日,"3,360.40","3,385.80","3,390.00","3,344.40",22.90K,-0.69%
2018年8月13日,"3,383.60","3,365.00","3,401.60","3,321.60",24.38K,-0.27%
2018年8月10日,"3,392.60","3,389.80","3,416.60","3,368.80",21.53K,-0.12%
2018年8月9日,"3,396.80","3,295.80","3,409.40","3,288.60",27.85K,3.01%
2018年8月8日,"3,297.40","3,354.80","3,354.80","3,285.80",23.38K,-1.45%
2018年8月7日,"3,345.80","3,284.60","3,364.00","3,259.60",27.32K,2.60%
2018年8月6日,"3,261.00","3,292.20","3,329.00","3,240.00",25.33K,-1.36%
2018年8月3日,"3,306.00","3,350.00","3,359.20","3,283.60",23.35K,-1.01%
2018年8月2日,"3,339.80","3,415.00","3,423.00","3,297.60",27.93K,-2.99%
2018年8月1日,"3,442.60","3,533.00","3,552.00","3,415.80",27.94K,-1.89%
2018年7月31日,"3,509.00","3,501.60","3,532.60","3,490.80",20.84K,0.40%
2018年7月30日,"3,495.00","3,521.00","3,548.60","3,486.80",22.84K,-0.66%
2018年7月27日,"3,518.20","3,533.00","3,541.80","3,505.00",20.26K,-0.22%
2018年7月26日,"3,526.00","3,578.00","3,582.80","3,520.40",20.92K,-1.14%
2018年7月25日,"3,566.80","3,587.00","3,587.40","3,557.80",17.61K,-0.20%
2018年7月24日,"3,574.00","3,520.20","3,594.80","3,520.00",23.18K,1.83%
2018年7月23日,"3,509.80","3,464.40","3,520.00","3,458.20",23.53K,1.07%
2018年7月20日,"3,472.70","3,425.00","3,479.40","3,406.00",7.22K,1.34%
2018年7月19日,"3,426.80","3,446.60","3,472.40","3,417.00",15.95K,-0.10%
2018年7月18日,"3,430.40","3,458.60","3,482.40","3,421.60",20.62K,0.00%
2018年7月17日,"3,430.40","3,463.00","3,466.80","3,405.60",22.55K,-0.78%
2018年7月16日,"3,457.40","3,485.00","3,508.00","3,444.20",20.44K,-0.66%
2018年7月13日,"3,480.20","3,487.80","3,488.80","3,465.40",18.40K,0.03%
2018年7月12日,"3,479.00","3,389.00","3,498.00","3,389.00",25.35K,3.19%
2018年7月11日,"3,371.60","3,370.00","3,402.20","3,344.00",26.30K,-1.77%
2018年7月10日,"3,432.20","3,447.40","3,453.60","3,408.80",21.73K,-0.02%
2018年7月9日,"3,432.80","3,356.00","3,443.00","3,355.60",23.98K,2.80%
2018年7月6日,"3,339.40","3,315.00","3,374.80","3,267.60",29.20K,0.96%
2018年7月5日,"3,307.80","3,330.20","3,368.00","3,296.00",25.40K,-0.62%
2018年7月4日,"3,328.60","3,357.80","3,382.80","3,316.00",22.56K,-1.02%
2018年7月3日,"3,363.00","3,376.60","3,389.80","3,276.20",27.60K,0.35%
2018年7月2日,"3,351.40","3,470.00","3,474.80","3,320.00",24.50K,-3.69%
2018年6月29日,"3,479.80","3,395.00","3,491.00","3,392.60",23.00K,2.75%
2018年6月28日,"3,386.80","3,387.00","3,447.40","3,369.40",23.40K,-0.58%
2018年6月27日,"3,406.60","3,489.80","3,508.00","3,387.00",23.46K,-2.18%
2018年6月26日,"3,482.40","3,494.80","3,518.00","3,443.20",22.68K,-1.24%
2018年6月25日,"3,526.00","3,584.60","3,595.00","3,505.40",19.59K,-1.08%
2018年6月22日,"3,564.60","3,527.60","3,580.00","3,514.20",21.02K,0.21%
2018年6月21日,"3,557.00","3,599.40","3,638.00","3,538.60",21.76K,-1.23%
2018年6月20日,"3,601.40","3,570.00","3,618.80","3,548.00",19.98K,0.76%
2018年6月19日,"3,574.20","3,671.20","3,682.60","3,513.40",22.30K,-4.75%
2018年6月15日,"3,752.60","3,770.20","3,785.00","3,739.40",6.97K,-0.51%
2018年6月14日,"3,771.80","3,767.40","3,808.60","3,759.40",13.63K,-0.28%
2018年6月13日,"3,782.40","3,803.20","3,814.80","3,772.20",15.80K,-1.11%
2018年6月12日,"3,824.80","3,778.20","3,834.60","3,760.40",18.95K,1.57%
2018年6月11日,"3,765.60","3,754.20","3,788.80","3,748.60",17.77K,0.28%
2018年6月8日,"3,755.00","3,806.00","3,808.60","3,743.40",16.15K,-1.69%
2018年6月7日,"3,819.40","3,839.80","3,854.60","3,810.20",17.04K,-0.04%
2018年6月6日,"3,820.80","3,820.40","3,827.20","3,810.20",13.73K,-0.04%
2018年6月5日,"3,822.20","3,789.00","3,829.00","3,782.40",16.83K,0.94%
2018年6月4日,"3,786.60","3,772.40","3,799.60","3,759.40",17.97K,1.21%
2018年6月1日,"3,741.40","3,775.20","3,778.00","3,729.60",17.94K,-0.98%
2018年5月31日,"3,778.60","3,723.00","3,787.40","3,720.80",20.36K,1.66%
2018年5月30日,"3,717.00","3,731.80","3,748.60","3,696.40",19.96K,-1.97%
2018年5月29日,"3,791.80","3,810.00","3,824.80","3,774.00",18.44K,-0.59%
2018年5月28日,"3,814.20","3,795.20","3,842.00","3,788.40",17.12K,0.59%
2018年5月25日,"3,792.00","3,808.00","3,825.60","3,783.60",16.46K,-0.53%
2018年5月24日,"3,812.20","3,841.20","3,850.00","3,803.00",16.82K,-0.86%
2018年5月23日,"3,845.20","3,885.00","3,885.00","3,835.00",17.57K,-1.13%
2018年5月22日,"3,889.00","3,908.20","3,911.60","3,868.60",15.83K,-0.51%
2018年5月21日,"3,908.80","3,933.00","3,945.00","3,899.20",19.48K,0.76%
2018年5月18日,"3,879.30","3,866.00","3,881.80","3,849.40",5.01K,0.31%
2018年5月17日,"3,867.40","3,902.00","3,903.00","3,861.20",9.73K,-0.84%
2018年5月16日,"3,900.00","3,913.60","3,924.00","3,885.40",13.87K,-0.36%
2018年5月15日,"3,914.20","3,923.80","3,925.80","3,891.00",14.75K,0.22%
2018年5月14日,"3,905.80","3,892.00","3,926.60","3,889.40",15.50K,0.69%
2018年5月11日,"3,879.20","3,909.00","3,909.60","3,872.80",14.78K,-0.19%
2018年5月10日,"3,886.60","3,886.20","3,900.00","3,862.20",16.06K,0.64%
2018年5月9日,"3,861.80","3,879.00","3,882.40","3,852.40",14.48K,-0.40%
2018年5月8日,"3,877.20","3,838.00","3,892.60","3,830.40",18.39K,1.32%
