日期,收市,開市,高,低,成交量,更改%
2015年12月30日,"3,765.18","3,762.91","3,765.66","3,726.28",105.63K,0.09%
2015年12月29日,"3,761.87","3,723.05","3,762.05","3,710.48",101.89K,0.92%
2015年12月28日,"3,727.63","3,847.53","3,853.39","3,727.63",153.99K,-2.88%
2015年12月25日,"3,838.20","3,832.08","3,848.02","3,813.20",119.62K,0.23%
2015年12月24日,"3,829.40","3,858.13","3,867.68","3,787.08",147.18K,-0.96%
2015年12月23日,"3,866.38","3,877.87","3,926.69","3,862.96",207.02K,-0.27%
2015年12月22日,"3,876.73","3,872.10","3,880.47","3,841.59",180.30K,0.28%
2015年12月21日,"3,865.96","3,762.10","3,877.82","3,759.99",217.44K,2.60%
2015年12月18日,"3,767.91","3,754.96","3,810.22","3,750.93",173.47K,0.32%
2015年12月17日,"3,755.89","3,712.78","3,768.84","3,709.85",177.92K,1.91%
2015年12月16日,"3,685.44","3,703.95","3,713.09","3,677.45",111.34K,-0.24%
2015年12月15日,"3,694.39","3,707.73","3,717.36","3,679.23",126.48K,-0.46%
2015年12月14日,"3,711.32","3,573.88","3,712.50","3,571.00",151.77K,2.86%
2015年12月11日,"3,608.06","3,605.37","3,630.74","3,578.15",110.32K,-0.41%
2015年12月10日,"3,623.08","3,634.37","3,678.32","3,615.99",120.22K,-0.35%
2015年12月9日,"3,635.94","3,613.42","3,655.16","3,611.49",113.33K,0.36%
2015年12月8日,"3,623.02","3,668.84","3,668.84","3,619.44",125.78K,-1.75%
2015年12月7日,"3,687.61","3,681.58","3,699.34","3,658.58",113.88K,0.27%
2015年12月4日,"3,677.59","3,719.73","3,726.12","3,667.29",151.20K,-1.91%
2015年12月3日,"3,749.30","3,709.55","3,758.45","3,693.14",197.76K,0.73%
2015年12月2日,"3,721.95","3,587.76","3,725.85","3,573.40",213.54K,3.63%
2015年12月1日,"3,591.70","3,562.32","3,617.31","3,536.12",136.54K,0.71%
2015年11月30日,"3,566.41","3,554.89","3,587.97","3,455.07",173.20K,0.26%
2015年11月27日,"3,556.99","3,739.10","3,742.74","3,534.39",208.94K,-5.38%
2015年11月26日,"3,759.43","3,795.25","3,805.84","3,756.82",173.53K,-0.59%
2015年11月25日,"3,781.61","3,747.76","3,781.86","3,735.72",151.95K,0.74%
2015年11月24日,"3,753.89","3,745.76","3,754.17","3,702.74",143.38K,0.01%
2015年11月23日,"3,753.34","3,774.44","3,802.85","3,743.41",175.63K,-0.56%
2015年11月20日,"3,774.38","3,778.88","3,793.54","3,757.03",186.95K,-0.02%
2015年11月19日,"3,774.97","3,725.62","3,775.23","3,714.67",154.63K,1.60%
2015年11月18日,"3,715.58","3,760.46","3,771.85","3,706.31",185.69K,-1.14%
2015年11月17日,"3,758.39","3,790.43","3,852.77","3,750.16",248.53K,-0.15%
2015年11月16日,"3,764.13","3,682.73","3,764.41","3,680.07",161.69K,0.48%
2015年11月13日,"3,746.24","3,756.20","3,793.71","3,727.58",203.49K,-1.29%
2015年11月12日,"3,795.32","3,841.74","3,843.90","3,771.27",217.54K,-1.00%
2015年11月11日,"3,833.65","3,828.45","3,843.11","3,781.41",232.23K,0.01%
2015年11月10日,"3,833.24","3,806.67","3,876.49","3,798.82",286.52K,-0.19%
2015年11月9日,"3,840.35","3,796.38","3,891.77","3,796.38",356.81K,1.24%
2015年11月6日,"3,793.37","3,698.34","3,801.70","3,694.66",298.75K,2.36%
2015年11月5日,"3,705.97","3,630.78","3,781.41","3,627.30",398.05K,2.13%
2015年11月4日,"3,628.54","3,477.16","3,628.54","3,477.16",205.42K,4.70%
2015年11月3日,"3,465.49","3,484.72","3,501.70","3,452.62",101.40K,-0.30%
2015年11月2日,"3,475.96","3,489.23","3,543.45","3,474.71",130.00K,-1.64%
2015年10月30日,"3,534.08","3,530.22","3,574.47","3,497.57",139.14K,0.02%
2015年10月29日,"3,533.31","3,539.98","3,561.81","3,507.97",127.01K,0.24%
2015年10月28日,"3,524.92","3,575.80","3,598.17","3,517.21",170.98K,-1.89%
2015年10月27日,"3,592.88","3,569.45","3,601.05","3,486.10",192.06K,0.10%
2015年10月26日,"3,589.26","3,614.70","3,620.76","3,561.19",204.25K,0.50%
2015年10月23日,"3,571.24","3,536.84","3,581.84","3,515.82",198.29K,1.33%
2015年10月22日,"3,524.53","3,453.20","3,530.77","3,442.31",184.31K,1.48%
2015年10月21日,"3,473.25","3,580.84","3,601.24","3,417.41",282.08K,-2.92%
2015年10月20日,"3,577.70","3,527.88","3,577.80","3,510.44",179.03K,1.23%
2015年10月19日,"3,534.18","3,548.95","3,572.99","3,502.50",207.61K,0.00%
2015年10月16日,"3,534.07","3,508.52","3,537.54","3,487.10",208.97K,1.36%
2015年10月15日,"3,486.82","3,403.39","3,486.82","3,402.32",171.16K,2.37%
