日期,收市,開市,高,低,成交量,更改%
2010年12月30日,"3,064.10","3,063.05","3,079.91","3,027.90",54.28K,0.07%
2010年12月29日,"3,061.83","3,049.93","3,062.56","3,025.22",45.19K,0.56%
2010年12月28日,"3,044.93","3,084.82","3,095.36","3,041.33",56.33K,-1.77%
2010年12月27日,"3,099.71","3,176.11","3,219.66","3,092.26",70.02K,-2.00%
2010年12月24日,"3,162.95","3,170.64","3,187.72","3,139.45",55.14K,-0.80%
2010年12月23日,"3,188.61","3,210.67","3,237.64","3,183.15",61.32K,-0.83%
2010年12月22日,"3,215.45","3,253.82","3,263.45","3,201.67",69.94K,-1.05%
2010年12月21日,"3,249.51","3,184.70","3,251.55","3,168.89",79.85K,2.23%
2010年12月20日,"3,178.66","3,239.02","3,249.76","3,118.00",74.76K,-1.46%
2010年12月17日,"3,225.66","3,229.30","3,232.84","3,212.58",44.92K,-0.15%
2010年12月16日,"3,230.66","3,246.01","3,258.39","3,224.12",56.80K,-0.52%
2010年12月15日,"3,247.64","3,270.78","3,282.77","3,242.52",72.27K,-0.67%
2010年12月14日,"3,269.47","3,270.20","3,279.36","3,254.18",84.10K,0.26%
2010年12月13日,"3,261.06","3,176.34","3,261.34","3,173.56",95.71K,3.13%
2010年12月10日,"3,161.98","3,107.38","3,172.16","3,101.08",57.11K,1.24%
2010年12月9日,"3,123.37","3,156.00","3,175.05","3,122.20",66.15K,-1.53%
2010年12月8日,"3,171.88","3,194.89","3,215.28","3,166.77",59.52K,-0.89%
2010年12月7日,"3,200.34","3,152.73","3,214.69","3,112.22",58.48K,1.10%
2010年12月6日,"3,165.57","3,168.88","3,185.33","3,140.55",56.36K,0.23%
2010年12月3日,"3,158.16","3,161.93","3,171.38","3,134.42",50.48K,0.10%
2010年12月2日,"3,155.06","3,185.76","3,194.23","3,154.32",61.02K,0.61%
2010年12月1日,"3,136.02","3,127.26","3,150.44","3,111.64",48.88K,-0.03%
2010年11月30日,"3,136.99","3,187.53","3,205.78","3,060.44",85.76K,-1.66%
2010年11月29日,"3,190.05","3,183.54","3,206.76","3,159.46",59.00K,-0.15%
2010年11月26日,"3,194.85","3,214.13","3,224.52","3,170.36",64.47K,-0.89%
2010年11月25日,"3,223.48","3,197.97","3,227.05","3,172.28",83.44K,1.46%
2010年11月24日,"3,177.04","3,088.99","3,177.41","3,088.99",75.33K,2.25%
2010年11月23日,"3,107.18","3,156.48","3,156.48","3,061.62",77.40K,-2.04%
2010年11月22日,"3,171.94","3,148.22","3,200.47","3,137.75",83.21K,-0.22%
2010年11月19日,"3,178.85","3,168.16","3,178.85","3,076.21",83.35K,0.98%
2010年11月18日,"3,147.96","3,134.94","3,158.63","3,097.39",65.70K,1.42%
2010年11月17日,"3,103.91","3,124.11","3,168.93","3,087.51",83.26K,-2.07%
2010年11月16日,"3,169.54","3,311.62","3,311.62","3,155.47",108.31K,-4.38%
2010年11月15日,"3,314.89","3,298.74","3,319.98","3,241.76",102.32K,0.70%
2010年11月12日,"3,291.83","3,484.61","3,497.06","3,284.35",160.73K,-6.21%
2010年11月11日,"3,509.97","3,490.74","3,557.99","3,484.89",138.98K,0.31%
2010年11月10日,"3,499.11","3,507.20","3,508.28","3,470.97",120.08K,-0.70%
2010年11月9日,"3,523.95","3,547.44","3,547.44","3,498.62",122.46K,-0.69%
2010年11月8日,"3,548.57","3,534.19","3,549.30","3,506.38",126.47K,0.79%
2010年11月5日,"3,520.80","3,538.99","3,554.47","3,498.28",137.69K,1.16%
2010年11月4日,"3,480.51","3,426.46","3,480.93","3,419.64",116.80K,1.76%
2010年11月3日,"3,420.34","3,462.74","3,474.71","3,419.08",126.36K,-1.24%
2010年11月2日,"3,463.13","3,484.23","3,522.18","3,449.72",154.91K,-0.28%
2010年11月1日,"3,472.99","3,390.41","3,472.99","3,390.41",126.27K,2.75%
2010年10月29日,"3,379.98","3,400.26","3,404.60","3,351.60",100.46K,-0.52%
2010年10月28日,"3,397.69","3,390.43","3,420.89","3,371.44",98.35K,-0.18%
2010年10月27日,"3,403.87","3,451.43","3,490.22","3,398.09",123.76K,-1.79%
2010年10月26日,"3,466.08","3,491.47","3,499.82","3,436.46",142.64K,-0.43%
