日期,收市,開市,高,低,成交量,更改%
2016年12月30日,71.8,71.65,72,71.55,2.73B,0.77%
2016年12月29日,71.25,71.45,71.45,71.2,1.91B,-0.49%
2016年12月28日,71.6,70.85,71.6,70.85,3.69B,1.20%
2016年12月27日,70.75,70.8,70.9,70.65,2.49B,-0.07%
2016年12月26日,70.8,70.65,70.8,70.55,2.10B,0.35%
2016年12月23日,70.55,70.6,70.85,70.35,5.13B,-0.35%
2016年12月22日,70.8,71.55,71.55,70.8,4.97B,-1.26%
2016年12月21日,71.7,71.75,71.85,71.5,9.32B,-0.07%
2016年12月20日,71.75,71.95,71.95,71.55,2.03B,-0.14%
2016年12月19日,71.85,72.25,72.3,71.85,2.68B,-0.62%
2016年12月16日,72.3,72.8,72.8,72.3,2.15B,-0.96%
2016年12月15日,73,72.55,73,72.4,3.02B,-0.14%
2016年12月14日,73.1,73.2,73.3,72.9,2.83B,0.21%
2016年12月13日,72.95,72.85,73,72.65,2.55B,0.14%
2016年12月12日,72.85,73.3,73.55,72.75,3.21B,-0.41%
2016年12月9日,73.15,73.05,73.2,72.95,5.42B,0.34%
2016年12月8日,72.9,72.3,73,72.3,6.09B,1.25%
2016年12月7日,72,72.2,72.35,71.9,1.47B,0.00%
2016年12月6日,72,71.8,72.2,71.75,2.44B,1.27%
2016年12月5日,71.1,71.2,71.2,70.8,1.39B,-0.14%
2016年12月2日,71.2,71.2,71.2,70.9,3.31B,-1.11%
2016年12月1日,72,71.6,72.1,71.6,1.96B,0.42%
2016年11月30日,71.7,71.7,71.9,71.5,1.92B,0.07%
2016年11月29日,71.65,71.9,72,71.65,1.42B,-0.14%
2016年11月28日,71.75,71.35,72,71.35,2.65B,0.56%
2016年11月25日,71.35,71.35,71.65,71.25,2.65B,-0.07%
2016年11月24日,71.4,71.6,71.6,71.2,2.30B,-0.56%
2016年11月23日,71.8,71.5,71.9,71.45,1.91B,0.49%
2016年11月22日,71.45,70.75,71.65,70.75,5.29B,1.35%
2016年11月21日,70.5,70.3,70.5,70.1,2.65B,0.14%
2016年11月18日,70.4,70.1,70.4,69.9,2.12B,0.28%
2016年11月17日,70.2,70,70.2,69.75,3.31B,0.29%
2016年11月16日,70,70.2,70.5,69.95,24.75B,0.14%
2016年11月15日,69.9,69.8,70.1,69.75,4.02B,-0.29%
2016年11月14日,70.1,69.95,70.3,69.45,7.12B,0.07%
2016年11月11日,70.05,70.35,70.7,69.95,8.38B,-2.71%
2016年11月10日,72,71.8,72.1,71.75,6.70B,2.86%
2016年11月9日,70,72.85,73.05,70,19.94B,-3.25%
2016年11月8日,72.35,72.15,72.4,72,2.69B,0.49%
2016年11月7日,72,71.8,72,71.45,3.24B,1.41%
2016年11月4日,71,71,71.2,70.85,4.35B,-0.28%
2016年11月3日,71.2,71.45,71.6,71.1,4.55B,-0.77%
2016年11月2日,71.75,71.95,72,71.6,5.50B,-1.17%
2016年11月1日,72.6,72.25,72.6,72.1,2.02B,0.00%
2016年10月31日,72.6,72.25,72.7,71.7,5.46B,0.00%
2016年10月28日,72.6,72.6,72.75,72.45,4.28B,0.00%
2016年10月27日,72.6,73,73.15,72.4,3.17B,-0.55%
2016年10月26日,73,73,73.15,72.9,2.87B,-0.54%
2016年10月25日,73.4,72.85,73.5,72.85,3.72B,0.96%
2016年10月24日,72.7,72.85,72.95,72.6,3.26B,0.14%
2016年10月21日,72.6,72.65,73.05,72.55,4.23B,-0.07%
2016年10月20日,72.65,72.35,72.75,72.35,4.84B,0.41%
2016年10月19日,72.35,72,72.6,72,21.58B,0.56%
2016年10月18日,71.95,71.5,71.95,71.3,3.62B,0.70%
2016年10月17日,71.45,71.45,71.6,70.6,4.42B,0.00%
2016年10月14日,71.45,71.3,71.9,71.3,3.63B,-0.35%
2016年10月13日,71.7,72.2,72.3,71.45,5.45B,-0.76%
2016年10月12日,72.25,71.5,72.3,71.35,6.06B,1.12%
2016年10月11日,71.45,72.35,72.45,71.2,6.94B,-0.28%
2016年10月7日,71.65,71.6,71.8,71.6,3.05B,-0.07%
2016年10月6日,71.7,71.7,71.75,71.45,2.07B,0.28%
2016年10月5日,71.5,71.6,71.85,71.45,2.84B,-0.35%
2016年10月4日,71.75,71.45,71.75,71.3,5.17B,0.42%
2016年10月3日,71.45,71.2,71.6,71.1,3.89B,0.70%
2016年9月30日,70.95,71.15,71.35,70.8,5.84B,-1.32%
2016年9月29日,71.9,71.85,72.15,71.4,9.62B,1.27%
2016年9月26日,71,71.5,71.5,71,3.74B,-1.25%
2016年9月23日,71.9,71.5,71.9,71.4,4.22B,0.70%
2016年9月22日,71.4,71.9,72,71.25,4.93B,0.21%
2016年9月21日,71.25,70.75,71.35,70.55,12.16B,0.49%
2016年9月20日,70.9,70.9,71,70.6,2.80B,-0.14%
2016年9月19日,71,69.4,71,69.4,9.89B,3.73%
2016年9月14日,68.45,68.5,69.05,68.45,5.62B,-0.58%
2016年9月13日,68.85,69.1,69.2,68.2,7.12B,0.00%
2016年9月12日,68.85,69.35,69.35,68.7,7.24B,-0.79%
2016年9月10日,69.4,69,69.6,69,8.81K,-1.42%
2016年9月9日,70.4,70.9,70.9,70.35,5.23B,-1.68%
