日期,收市,開市,高,低,成交量,更改%
2019年12月31日,96.95,97.1,97.2,96.95,4.30M,-0.87%
2019年12月30日,97.8,98,98.25,97.6,3.14M,-0.20%
2019年12月27日,98,97.6,98.15,97.6,2.98M,0.67%
2019年12月26日,97.35,97.55,97.55,97.1,3.10M,0.00%
2019年12月25日,97.35,97.2,97.45,97.05,1.79M,0.15%
2019年12月24日,97.2,97.3,97.45,97.2,1.41M,0.05%
2019年12月23日,97.15,97,97.3,96.95,3.42M,0.21%
2019年12月20日,96.95,97.55,97.55,96.7,3.35M,-0.72%
2019年12月19日,97.65,98.15,98.2,97.55,2.27M,-0.56%
2019年12月18日,98.2,98,98.3,97.8,3.76M,0.05%
2019年12月17日,98.15,96.75,98.15,96.7,4.70M,1.34%
2019年12月16日,96.85,96.95,97.05,96.65,4.48M,-0.05%
2019年12月13日,96.9,96.75,97.4,96.7,5.88M,1.10%
2019年12月12日,95.85,94.35,96.1,94.35,8.42M,2.24%
2019年12月11日,93.75,93,93.75,92.95,1.94M,0.81%
2019年12月10日,93,93.4,93.4,92.8,5.30M,-0.69%
2019年12月9日,93.65,93.2,93.8,93.2,2.91M,0.64%
2019年12月6日,93.05,93.3,93.5,92.75,3.39M,0.16%
2019年12月5日,92.9,92.35,93,92.2,3.44M,1.31%
2019年12月4日,91.7,91.85,91.9,91.4,2.31M,-0.38%
2019年12月3日,92.05,91.7,92.2,91.6,1.41M,0.00%
2019年12月2日,92.05,91.95,92.15,91.75,2.07M,0.60%
2019年11月29日,91.5,92.85,92.85,91.45,5.34M,-1.56%
2019年11月28日,92.95,93.25,93.25,92.8,1.35M,-0.27%
2019年11月27日,93.2,92.85,93.2,92.75,1.96M,0.38%
2019年11月26日,92.85,92.95,93.3,92.8,3.83M,0.27%
2019年11月25日,92.6,93,93.1,92.55,2.52M,0.05%
2019年11月22日,92.55,92.55,92.75,92.4,1.51M,0.05%
2019年11月21日,92.5,92.3,92.55,91.8,3.28M,-0.80%
2019年11月20日,93.25,93.6,93.6,93.1,7.95M,-0.37%
2019年11月19日,93.6,92.9,93.6,92.65,2.82M,0.75%
2019年11月18日,92.9,92.5,92.9,92.4,2.09M,0.65%
2019年11月15日,92.3,92,92.5,92,2.51M,0.98%
2019年11月14日,91.4,91.6,91.8,91.2,2.17M,-0.05%
2019年11月13日,91.45,91.55,91.65,91.05,1.94M,-0.60%
2019年11月12日,92,91.55,92,91.55,2.43M,0.93%
2019年11月11日,91.15,92.4,92.45,91.05,5.86M,-1.51%
2019年11月8日,92.55,93,93.05,92.4,2.89M,-0.32%
2019年11月7日,92.85,93.2,93.2,92.35,3.05M,-0.54%
2019年11月6日,93.35,92.95,93.35,92.75,4.49M,0.48%
2019年11月5日,92.9,92.4,92.9,92.35,3.97M,0.76%
2019年11月4日,92.2,90.55,92.25,90.55,6.73M,2.33%
2019年11月1日,90.1,90,90.2,89.75,2.81M,0.00%
2019年10月31日,90.1,89.9,90.6,89.9,9.46M,0.28%
2019年10月30日,89.85,89.45,89.85,89.3,5.38M,0.45%
2019年10月29日,89.45,89.5,89.65,89.35,7.41M,0.28%
2019年10月28日,89.2,89.25,89.3,89,5.01M,0.45%
2019年10月25日,88.8,89.2,89.2,88.6,7.97M,0.00%
2019年10月24日,88.8,88.7,88.8,88.5,2.58M,0.40%
2019年10月23日,88.45,88.7,88.8,88.3,2.58M,-0.28%
2019年10月22日,88.7,88.2,88.8,88.2,3.26M,0.97%
2019年10月21日,87.85,87.95,88,87.75,1.08M,-0.11%
2019年10月18日,87.95,88.15,88.65,87.9,2.82M,-0.23%
2019年10月17日,88.15,88.05,88.15,87.8,2.54M,0.06%
2019年10月16日,88.1,88,88.15,87.85,3.98M,0.46%
2019年10月15日,87.7,87.55,87.85,87.3,4.38M,0.17%
2019年10月14日,87.55,87,87.55,87,9.49M,2.04%
2019年10月9日,85.8,86.15,86.2,85.8,6.92M,-0.81%
