日期,收市,開市,高,低,成交量,更改%
2016年12月30日,"9,253.50","9,186.30","9,259.09","9,186.30",1.37B,1.10%
2016年12月29日,"9,153.09","9,172.39","9,196.02","9,149.16",1.28B,-0.53%
2016年12月28日,"9,201.40","9,120.90","9,203.56","9,120.90",1.23B,1.01%
2016年12月27日,"9,109.27","9,120.88","9,132.05","9,100.83",908.04M,-0.01%
2016年12月26日,"9,110.54","9,088.99","9,127.74","9,083.28",823.72M,0.35%
2016年12月23日,"9,078.64","9,112.33","9,128.83","9,078.64",1.38B,-0.44%
2016年12月22日,"9,118.75","9,204.29","9,209.72","9,118.75",1.47B,-0.93%
2016年12月21日,"9,204.26","9,234.94","9,263.50","9,204.26",1.48B,-0.41%
2016年12月20日,"9,242.41","9,229.74","9,258.69","9,199.84",1.39B,0.03%
2016年12月19日,"9,239.32","9,316.06","9,317.03","9,237.98",1.50B,-0.94%
2016年12月16日,"9,326.78","9,352.27","9,379.75","9,326.78",1.92B,-0.36%
2016年12月15日,"9,360.35","9,337.21","9,370.51","9,309.79",1.74B,-0.09%
2016年12月14日,"9,368.52","9,395.60","9,413.13","9,353.25",1.71B,-0.15%
2016年12月13日,"9,382.14","9,361.97","9,382.14","9,342.56",1.91B,0.34%
2016年12月12日,"9,349.94","9,402.05","9,430.34","9,336.45",1.75B,-0.46%
2016年12月9日,"9,392.68","9,383.07","9,399.25","9,366.86",1.87B,0.18%
2016年12月8日,"9,375.86","9,308.90","9,376.41","9,308.90",2.24B,1.21%
2016年12月7日,"9,263.89","9,279.00","9,299.92","9,247.50",1.68B,0.14%
2016年12月6日,"9,250.77","9,209.80","9,280.65","9,209.80",1.70B,0.98%
2016年12月5日,"9,160.66","9,194.46","9,212.19","9,138.64",1.60B,-0.31%
2016年12月2日,"9,189.49","9,214.56","9,214.56","9,165.90",1.78B,-0.80%
2016年12月1日,"9,263.53","9,245.55","9,278.96","9,241.78",2.00B,0.25%
2016年11月30日,"9,240.71","9,196.09","9,240.71","9,189.62",2.54B,0.53%
2016年11月29日,"9,192.38","9,220.95","9,249.06","9,192.38",1.89B,-0.32%
2016年11月28日,"9,222.24","9,167.33","9,241.54","9,167.33",1.91B,0.69%
2016年11月25日,"9,159.07","9,149.35","9,191.34","9,148.63",1.84B,0.08%
2016年11月24日,"9,152.11","9,164.84","9,183.16","9,137.56",2.02B,-0.28%
2016年11月23日,"9,178.23","9,146.72","9,202.72","9,146.72",1.93B,0.49%
2016年11月22日,"9,133.39","9,058.58","9,161.19","9,058.58",2.15B,1.02%
2016年11月21日,"9,041.11","9,009.78","9,049.76","8,986.40",1.81B,0.36%
2016年11月18日,"9,008.79","8,991.50","9,025.98","8,958.22",1.78B,0.15%
2016年11月17日,"8,995.26","8,984.57","8,998.23","8,936.30",1.70B,0.37%
2016年11月16日,"8,962.22","8,955.76","9,032.31","8,955.76",1.85B,0.35%
2016年11月15日,"8,931.03","8,927.92","8,981.05","8,923.36",1.95B,-0.10%
2016年11月14日,"8,940.40","8,955.27","8,991.94","8,879.69",2.15B,-0.19%
2016年11月11日,"8,957.76","9,067.65","9,067.65","8,949.38",2.52B,-2.12%
2016年11月10日,"9,152.18","9,070.64","9,179.18","9,070.64",2.00B,2.34%
2016年11月9日,"8,943.20","9,252.27","9,296.86","8,926.60",2.66B,-2.98%
2016年11月8日,"9,217.43","9,214.95","9,230.20","9,165.00",1.35B,0.30%
2016年11月7日,"9,189.84","9,102.97","9,191.67","9,102.97",1.25B,1.34%
2016年11月4日,"9,068.15","9,065.11","9,098.88","9,048.21",1.18B,0.01%
2016年11月3日,"9,067.27","9,126.29","9,154.19","9,067.27",1.40B,-0.79%
2016年11月2日,"9,139.04","9,230.23","9,230.23","9,139.04",1.37B,-1.44%
2016年11月1日,"9,272.70","9,272.30","9,289.12","9,236.82",1.12B,-0.19%
2016年10月31日,"9,290.12","9,283.20","9,314.34","9,194.48",1.32B,-0.18%
2016年10月28日,"9,306.92","9,307.39","9,320.57","9,276.71",1.37B,0.08%
2016年10月27日,"9,299.55","9,363.90","9,370.32","9,286.86",1.45B,-0.67%
2016年10月26日,"9,362.25","9,355.66","9,372.74","9,338.84",1.31B,-0.25%
2016年10月25日,"9,385.65","9,338.09","9,399.97","9,334.80",1.43B,0.68%
2016年10月24日,"9,322.50","9,333.94","9,343.57","9,308.53",1.26B,0.17%
2016年10月21日,"9,306.57","9,322.55","9,348.09","9,292.53",1.90B,-0.11%
2016年10月20日,"9,317.24","9,288.49","9,331.89","9,279.15",1.63B,0.36%
2016年10月19日,"9,283.99","9,227.98","9,298.87","9,226.46",1.51B,0.67%
2016年10月18日,"9,222.58","9,175.07","9,222.58","9,157.40",1.28B,0.51%
2016年10月17日,"9,176.22","9,150.67","9,182.67","9,074.99",1.26B,0.12%
2016年10月14日,"9,165.17","9,198.26","9,216.63","9,149.87",1.48B,-0.59%
2016年10月13日,"9,219.17","9,268.22","9,285.05","9,187.78",1.52B,-0.36%
2016年10月12日,"9,252.60","9,201.55","9,258.69","9,166.58",1.39B,0.36%
2016年10月11日,"9,219.82","9,311.79","9,327.71","9,167.72",2.07B,-0.50%
2016年10月7日,"9,265.81","9,289.66","9,289.95","9,249.06",1.50B,-0.20%
2016年10月6日,"9,284.31","9,263.40","9,284.31","9,242.83",1.41B,0.13%
2016年10月5日,"9,272.28","9,260.69","9,276.13","9,244.41",1.34B,-0.17%
2016年10月4日,"9,287.77","9,228.66","9,287.77","9,224.45",1.40B,0.58%
2016年10月3日,"9,234.20","9,219.52","9,256.58","9,212.38",1.38B,0.73%
2016年9月30日,"9,166.85","9,240.44","9,240.65","9,160.91",1.61B,-1.12%
2016年9月29日,"9,270.90","9,241.61","9,303.13","9,238.49",1.84B,0.83%
2016年9月28日,"9,194.52","9,229.34","9,229.34","9,189.49",1.24M,0.00%
2016年9月27日,"9,194.52","9,229.34","9,229.34","9,189.49",1.24M,0.00%
2016年9月26日,"9,194.52","9,229.34","9,229.34","9,189.49",1.24B,-0.97%
2016年9月23日,"9,284.62","9,240.25","9,284.62","9,228.66",1.57B,0.53%
2016年9月22日,"9,235.26","9,265.28","9,290.76","9,207.41",1.49B,0.07%
2016年9月21日,"9,228.50","9,141.92","9,228.50","9,133.16",1.62B,0.73%
2016年9月20日,"9,161.58","9,141.21","9,173.46","9,130.90",1.43B,0.10%
2016年9月19日,"9,152.88","9,003.41","9,155.38","9,003.41",1.68B,2.81%
2016年9月14日,"8,902.30","8,913.11","8,965.32","8,895.85",1.76B,-0.43%
2016年9月13日,"8,940.83","8,983.95","9,014.75","8,885.55",1.80B,-0.07%
2016年9月12日,"8,947.06","9,031.51","9,031.51","8,947.06",1.67B,-1.18%
2016年9月10日,"9,053.69","9,084.81","9,084.81","9,025.53",1.23B,-1.21%
2016年9月9日,"9,164.88","9,217.37","9,217.37","9,142.13",1.59B,-1.06%
2016年9月8日,"9,262.89","9,241.95","9,273.57","9,224.89",1.86B,0.04%
2016年9月7日,"9,259.07","9,202.23","9,278.88","9,202.23",1.97B,0.84%
