日期,收市,開市,高,低,成交量,更改%
2019年12月31日,"11,997.14","12,019.19","12,047.75","11,997.14",1.74B,-0.47%
2019年12月30日,"12,053.37","12,094.81","12,114.89","12,046.22",1.89B,-0.32%
2019年12月27日,"12,091.59","12,032.72","12,093.02","12,032.72",1.87B,0.75%
2019年12月26日,"12,001.01","12,018.38","12,030.66","11,982.64",1.62B,-0.06%
2019年12月25日,"12,008.13","11,978.94","12,032.37","11,973.95",1.52B,0.27%
2019年12月24日,"11,976.38","12,023.79","12,027.60","11,976.38",1.72B,-0.38%
2019年12月23日,"12,022.23","11,969.14","12,022.23","11,960.21",1.91B,0.53%
2019年12月20日,"11,959.08","12,001.56","12,028.22","11,937.45",2.65B,-0.50%
2019年12月19日,"12,018.90","12,082.98","12,111.77","12,008.16",2.24B,-0.85%
2019年12月18日,"12,122.45","12,061.10","12,125.90","12,059.92",2.57B,0.21%
2019年12月17日,"12,097.01","11,939.62","12,097.01","11,939.62",2.50B,1.32%
2019年12月16日,"11,939.77","11,915.61","11,975.73","11,915.61",2.64B,0.10%
2019年12月13日,"11,927.73","11,937.90","11,990.78","11,913.02",2.97B,0.77%
2019年12月12日,"11,836.42","11,766.98","11,875.98","11,766.98",2.49B,1.16%
2019年12月11日,"11,700.77","11,635.07","11,700.77","11,622.58",2.26B,0.63%
2019年12月10日,"11,627.84","11,647.78","11,649.73","11,607.26",2.27B,-0.28%
2019年12月9日,"11,660.77","11,635.47","11,678.36","11,631.03",2.33B,0.44%
2019年12月6日,"11,609.64","11,639.80","11,657.65","11,577.83","1,975.92B",0.13%
2019年12月5日,"11,594.65","11,546.75","11,604.39","11,546.75","2,128.29B",0.73%
2019年12月4日,"11,510.47","11,511.82","11,513.83","11,457.43","1,931.86B",-0.18%
2019年12月3日,"11,531.58","11,473.32","11,531.58","11,460.06","1,884.04B",0.25%
2019年12月2日,"11,502.83","11,509.94","11,524.85","11,454.38","2,131.34B",0.12%
2019年11月29日,"11,489.57","11,616.88","11,623.59","11,485.16","2,296.92B",-1.10%
2019年11月28日,"11,617.08","11,641.70","11,654.06","11,604.68","1,976.95B",-0.26%
2019年11月27日,"11,647.46","11,590.81","11,651.73","11,590.81","2,166.75B",0.61%
2019年11月26日,"11,576.82","11,608.37","11,642.96","11,576.82","3,254.38B",0.13%
2019年11月25日,"11,561.58","11,590.81","11,604.75","11,559.33","2,150.45B",-0.05%
2019年11月22日,"11,566.80","11,556.75","11,577.02","11,534.15","1,840.63B",0.07%
2019年11月21日,"11,558.27","11,573.84","11,573.84","11,478.43","1,861.16B",-0.63%
2019年11月20日,"11,631.20","11,645.73","11,649.07","11,591.73","1,896.81B",-0.22%
2019年11月19日,"11,656.40","11,608.48","11,656.40","11,576.79","1,908.83B",0.49%
2019年11月18日,"11,599.78","11,543.80","11,599.78","11,532.97","1,943.79B",0.64%
