日期,收市,開市,高,低,成交量,更改%
2011年12月30日,728.61,724.39,728.62,723.08,83.87K,0.90%
2011年12月29日,722.12,719.24,722.98,716.82,97.29K,0.09%
2011年12月28日,721.45,723.34,725.06,721.04,100.74K,-0.39%
2011年12月27日,724.25,723.75,725.38,723.02,80.72K,-0.30%
2011年12月26日,726.44,730.21,730.21,725.82,90.42K,0.46%
2011年12月22日,723.12,724.19,725.33,721.77,118.07K,-0.35%
2011年12月21日,725.68,727,727.6,723.88,125.20K,1.00%
2011年12月20日,718.49,718.13,720.59,717.79,116.95K,0.29%
2011年12月19日,716.38,720.38,720.65,712.27,143.54K,-0.99%
2011年12月16日,723.56,726.99,727.85,722.75,147.92K,-0.20%
2011年12月15日,725.02,732.17,733.06,724.97,154.42K,-1.62%
2011年12月14日,736.98,738.45,739.46,734.9,151.73K,-0.50%
2011年12月13日,740.71,737.47,743.74,736.05,165.14K,-0.80%
2011年12月12日,746.69,747.73,749.29,745.65,150.55K,1.16%
2011年12月9日,738.12,735.99,741.82,735.99,257.04K,-0.94%
2011年12月8日,745.11,745.62,748.39,742.32,173.78K,-0.60%
2011年12月7日,749.63,741.36,750.61,739.97,181.12K,1.57%
2011年12月6日,738.01,745.55,747.77,738.01,159.42K,-1.42%
2011年12月5日,748.61,748.99,749.39,745.32,143.08K,0.60%
2011年12月2日,744.14,741.83,744.46,739.52,156.73K,0.56%
2011年12月1日,740.01,740.7,746.44,738.76,200.02K,1.59%
2011年11月30日,728.46,724.87,728.6,721.1,176.24K,-0.17%
2011年11月29日,729.68,721.94,729.83,719.84,156.91K,1.95%
2011年11月28日,715.7,714.09,719.61,713.98,136.24K,1.29%
2011年11月25日,706.6,704.08,711.36,703.88,150.40K,0.07%
2011年11月24日,706.08,708.05,712,704.77,149.59K,-1.63%
2011年11月22日,717.79,710.31,719.5,709.86,151.09K,0.10%
2011年11月21日,717.08,716.87,719.19,716.28,122.65K,-0.40%
2011年11月18日,719.98,719.57,721.47,717.61,145.08K,-1.06%
2011年11月17日,727.71,720.63,728.63,717.78,152.09K,0.50%
2011年11月16日,724.11,730.57,731.61,723.58,134.57K,-0.93%
2011年11月15日,730.91,731.82,735.04,729.97,122.80K,-0.67%
2011年11月14日,735.85,738.04,739.91,733.93,141.43K,0.92%
2011年11月11日,729.13,731.54,733.19,726.24,166.39K,-0.16%
2011年11月10日,730.3,735.64,735.64,727.72,196.35K,-2.55%
2011年11月9日,749.4,744.06,749.87,740.9,180.04K,1.54%
2011年11月8日,738.03,747.57,749.93,736.89,184.60K,-1.66%
2011年11月7日,750.45,749.96,750.45,747.06,145.02K,-0.21%
2011年11月4日,752.02,747.69,752.85,745.38,167.14K,1.82%
2011年11月2日,738.58,745.07,745.21,737.21,176.72K,-2.11%
2011年11月1日,754.5,757.77,761.04,753.39,146.68K,-1.25%
2011年10月31日,764.06,768.55,779.08,764.06,177.91K,-0.96%
2011年10月28日,771.43,774.11,777.39,769.94,216.38K,1.13%
2011年10月27日,762.79,748.11,763.04,744.28,180.53K,2.18%
2011年10月26日,746.48,741.78,751.21,736.5,146.10K,-0.16%
2011年10月25日,747.7,757.6,757.85,747.04,143.87K,-1.02%
2011年10月24日,755.44,749.25,755.55,749.14,133.94K,1.51%
2011年10月21日,744.21,744.77,746.59,741.87,131.97K,-0.24%
2011年10月20日,746.02,749.73,749.88,742.72,145.79K,-0.73%
2011年10月19日,751.49,756.34,757.88,749.62,129.87K,0.03%
2011年10月18日,751.24,752.62,754.94,749.64,116.97K,-1.40%
2011年10月17日,761.88,759.36,763.85,757.93,145.31K,1.75%
2011年10月14日,748.81,752.81,753.87,748.71,156.17K,-1.32%
2011年10月13日,758.83,761.08,762.02,758,157.85K,0.72%
2011年10月12日,753.44,750.71,754.92,747.25,152.45K,-0.21%
2011年10月11日,755,752.38,757.93,751.83,156.64K,1.81%
2011年10月7日,741.55,742.98,748.64,740.95,161.83K,0.64%
2011年10月6日,736.86,732.6,740.28,732.25,162.81K,1.46%
2011年10月5日,726.25,739.36,739.81,724.77,206.77K,-1.35%
2011年10月4日,736.18,737.2,737.61,729.8,206.92K,-1.46%
2011年10月3日,747.11,748.8,749.67,735.94,192.22K,-1.85%
2011年9月30日,761.17,764.06,765.89,755.56,201.32K,-0.15%
2011年9月29日,762.3,747.78,762.3,747.26,215.88K,1.09%
2011年9月28日,754.07,746.96,755.6,746.59,185.95K,0.74%
2011年9月27日,748.55,738.64,748.55,737.55,188.39K,2.70%
2011年9月26日,728.85,744.06,744.28,727.33,212.77K,-2.11%
2011年9月22日,744.54,749.56,749.77,740.85,170.41K,-1.66%
2011年9月21日,757.13,755.5,758.93,754.39,144.20K,0.28%
2011年9月20日,755.04,760.62,760.74,753.37,141.62K,-1.70%
2011年9月16日,768.13,760.41,768.42,759.56,192.64K,2.18%
2011年9月15日,751.76,750.53,754.92,749.46,168.61K,1.36%
2011年9月14日,741.69,749.81,753.56,740.58,177.64K,-1.08%
2011年9月13日,749.82,745.4,751.75,741.9,168.95K,1.15%
2011年9月12日,741.26,742.61,743.09,738.8,169.39K,-1.91%
2011年9月9日,755.7,754.6,760.52,754.6,220.90K,-0.23%
2011年9月8日,757.41,761.76,763.08,754.12,146.27K,0.50%
2011年9月7日,753.63,750.87,755.29,748.43,175.97K,1.68%
2011年9月6日,741.2,750.31,750.34,740.39,210.13K,-1.93%
2011年9月5日,755.82,760.77,762.15,753.46,159.51K,-1.81%
2011年9月2日,769.78,772.42,774.26,766.38,171.45K,-1.09%
2011年9月1日,778.28,776.04,780.99,774.52,170.51K,1.00%
2011年8月31日,770.6,767.14,771.18,764.48,185.80K,0.43%
2011年8月30日,767.3,768,773.31,766.37,183.24K,1.12%
2011年8月29日,758.83,757.21,765.64,751.53,195.47K,0.37%
2011年8月26日,756.07,750.82,756.35,749.99,189.33K,0.57%
2011年8月25日,751.82,749.93,759.34,749.21,205.82K,1.29%
2011年8月24日,742.24,756.95,759.4,740.51,218.09K,-1.09%
2011年8月23日,750.39,747.97,751.85,742.76,209.05K,1.02%
2011年8月22日,742.84,748.51,752.86,742.13,196.61K,-1.18%
2011年8月19日,751.69,753.27,756.08,749.45,204.70K,-2.04%
2011年8月18日,767.31,775.57,775.66,765.91,173.94K,-1.20%
2011年8月17日,776.65,775.38,778.02,771.12,161.09K,-0.31%
