日期,收市,開市,高,低,成交量,更改%
2011年12月30日,"8,455.35","8,434.90","8,455.35","8,415.56",57.63K,0.67%
2011年12月29日,"8,398.89","8,367.71","8,404.89","8,330.87",66.32K,-0.29%
2011年12月28日,"8,423.62","8,426.09","8,456.66","8,414.90",70.86K,-0.20%
2011年12月27日,"8,440.56","8,443.00","8,458.26","8,428.53",51.35K,-0.46%
2011年12月26日,"8,479.34","8,504.46","8,516.53","8,477.37",61.35K,1.00%
2011年12月22日,"8,395.16","8,429.54","8,436.59","8,383.96",83.87K,-0.77%
2011年12月21日,"8,459.98","8,442.74","8,471.11","8,440.89",90.77K,1.48%
2011年12月20日,"8,336.48","8,318.03","8,354.90","8,317.73",80.02K,0.49%
2011年12月19日,"8,296.12","8,363.39","8,364.93","8,272.26",94.96K,-1.26%
2011年12月16日,"8,401.72","8,416.21","8,433.18","8,390.98",105.01K,0.29%
2011年12月15日,"8,377.37","8,449.05","8,455.32","8,374.25",103.14K,-1.66%
2011年12月14日,"8,519.13","8,513.77","8,540.57","8,486.37",98.32K,-0.39%
2011年12月13日,"8,552.81","8,535.52","8,594.32","8,518.80",113.27K,-1.17%
2011年12月12日,"8,653.82","8,652.98","8,682.47","8,633.35",101.00K,1.37%
2011年12月9日,"8,536.46","8,521.33","8,576.68","8,503.03",199.72K,-1.48%
2011年12月8日,"8,664.58","8,664.35","8,688.81","8,625.19",127.85K,-0.66%
2011年12月7日,"8,722.17","8,629.19","8,729.81","8,614.21",132.59K,1.71%
2011年12月6日,"8,575.16","8,644.97","8,671.54","8,571.09",107.83K,-1.39%
2011年12月5日,"8,695.98","8,697.78","8,704.48","8,668.04",91.27K,0.60%
2011年12月2日,"8,643.75","8,603.23","8,643.75","8,591.93",101.01K,0.54%
2011年12月1日,"8,597.38","8,581.20","8,653.88","8,577.09",147.87K,1.93%
2011年11月30日,"8,434.61","8,407.63","8,435.34","8,361.69",126.55K,-0.51%
2011年11月29日,"8,477.82","8,371.01","8,477.82","8,351.38",115.89K,2.30%
2011年11月28日,"8,287.49","8,269.91","8,322.01","8,259.71",102.31K,1.56%
2011年11月25日,"8,160.01","8,138.19","8,199.67","8,135.79",111.37K,-0.06%
2011年11月24日,"8,165.18","8,189.42","8,212.95","8,157.39",109.83K,-1.80%
2011年11月22日,"8,314.74","8,263.86","8,350.35","8,261.01",112.21K,-0.40%
2011年11月21日,"8,348.27","8,349.05","8,375.60","8,343.93",89.89K,-0.32%
2011年11月18日,"8,374.91","8,374.16","8,398.80","8,359.60",108.60K,-1.23%
2011年11月17日,"8,479.63","8,421.88","8,491.82","8,400.22",112.95K,0.19%
2011年11月16日,"8,463.16","8,546.75","8,567.64","8,459.30",95.49K,-0.92%
2011年11月15日,"8,541.93","8,546.99","8,584.30","8,527.63",80.20K,-0.72%
2011年11月14日,"8,603.70","8,631.28","8,655.31","8,595.43",104.33K,1.05%
2011年11月11日,"8,514.47","8,545.92","8,566.49","8,485.77",124.86K,0.16%
2011年11月10日,"8,500.80","8,597.28","8,600.21","8,500.67",149.92K,-2.91%
2011年11月9日,"8,755.44","8,724.60","8,762.98","8,678.78",137.44K,1.15%
2011年11月8日,"8,655.51","8,744.36","8,772.04","8,644.00",136.41K,-1.27%
2011年11月7日,"8,767.09","8,771.82","8,779.55","8,741.25",100.03K,-0.39%
2011年11月4日,"8,801.40","8,761.27","8,814.71","8,729.08",124.97K,1.86%
2011年11月2日,"8,640.42","8,719.92","8,719.92","8,640.42",129.17K,-2.21%
2011年11月1日,"8,835.52","8,880.75","8,946.00","8,831.69",103.77K,-1.70%
2011年10月31日,"8,988.39","9,011.18","9,152.39","8,988.39",133.84K,-0.69%
2011年10月28日,"9,050.47","9,059.04","9,086.43","9,003.09",165.08K,1.39%
2011年10月27日,"8,926.54","8,779.40","8,926.54","8,731.77",139.87K,2.04%
2011年10月26日,"8,748.47","8,673.85","8,798.80","8,642.56",108.83K,-0.16%
2011年10月25日,"8,762.31","8,866.43","8,870.37","8,755.38",106.71K,-0.92%
2011年10月24日,"8,843.98","8,764.92","8,844.28","8,762.02",97.34K,1.90%
2011年10月21日,"8,678.89","8,679.04","8,700.49","8,652.26",96.99K,-0.04%
2011年10月20日,"8,682.15","8,733.60","8,733.60","8,672.21",109.21K,-1.03%
2011年10月19日,"8,772.54","8,808.25","8,831.55","8,745.36",91.18K,0.35%
2011年10月18日,"8,741.91","8,758.74","8,773.99","8,727.39",81.59K,-1.55%
2011年10月17日,"8,879.60","8,881.44","8,911.70","8,856.58",95.93K,1.50%
2011年10月14日,"8,747.96","8,782.91","8,787.89","8,733.71",108.30K,-0.85%
2011年10月13日,"8,823.25","8,832.81","8,854.16","8,808.73",108.26K,0.97%
2011年10月12日,"8,738.90","8,719.67","8,763.02","8,689.38",109.85K,-0.40%
2011年10月11日,"8,773.68","8,733.54","8,806.44","8,725.62",112.57K,1.95%
2011年10月7日,"8,605.62","8,593.22","8,663.57","8,589.36",122.38K,0.98%
2011年10月6日,"8,522.02","8,463.83","8,545.79","8,463.83",123.51K,1.66%
2011年10月5日,"8,382.98","8,491.43","8,501.03","8,343.01",158.06K,-0.86%
2011年10月4日,"8,456.12","8,426.39","8,470.76","8,359.24",158.67K,-1.05%
2011年10月3日,"8,545.48","8,567.98","8,577.52","8,455.67",143.68K,-1.78%
2011年9月30日,"8,700.29","8,713.91","8,756.00","8,653.62",148.70K,-0.01%
