日期,收市,開市,高,低,成交量,更改%
2011年12月30日,"5,898.35","5,867.03","5,898.35","5,817.71",42.36M,0.85%
2011年12月29日,"5,848.78","5,804.13","5,848.78","5,775.79",59.71M,1.34%
2011年12月28日,"5,771.27","5,875.87","5,901.35","5,771.27",72.30M,-2.01%
2011年12月27日,"5,889.76","5,900.70","5,924.38","5,877.98",35.25M,0.18%
2011年12月23日,"5,878.93","5,905.18","5,913.41","5,844.64",54.22M,0.46%
2011年12月22日,"5,852.18","5,830.13","5,886.18","5,820.44",88.64M,1.05%
2011年12月21日,"5,791.53","5,918.72","5,965.35","5,771.62",145.37M,-0.95%
2011年12月20日,"5,847.03","5,652.61","5,847.71","5,637.53",129.74M,3.11%
2011年12月19日,"5,670.71","5,651.74","5,775.24","5,644.19",102.01M,-0.54%
2011年12月16日,"5,701.78","5,764.45","5,775.00","5,693.41",301.49M,-0.50%
2011年12月15日,"5,730.62","5,713.48","5,795.87","5,682.16",183.78M,0.98%
2011年12月14日,"5,675.14","5,738.98","5,771.60","5,675.14",202.90M,-1.72%
2011年12月13日,"5,774.26","5,801.39","5,852.43","5,734.12",191.20M,-0.19%
2011年12月12日,"5,785.43","5,945.19","5,952.55","5,785.43",153.58M,-3.36%
2011年12月9日,"5,986.71","5,806.49","6,007.05","5,802.36",190.77M,1.91%
2011年12月8日,"5,874.44","6,054.56","6,077.17","5,868.63",183.75M,-2.01%
2011年12月7日,"5,994.73","6,116.26","6,137.05","5,919.56",143.84M,-0.57%
2011年12月6日,"6,028.82","6,021.73","6,094.77","6,005.82",156.07M,-1.27%
2011年12月5日,"6,106.09","6,137.87","6,170.04","6,086.42",201.03M,0.42%
2011年12月2日,"6,080.68","6,117.73","6,169.64","6,055.48",205.32M,0.74%
2011年12月1日,"6,035.88","6,080.48","6,111.97","6,017.38",153.04M,-0.87%
2011年11月30日,"6,088.84","5,741.21","6,130.68","5,725.98",244.42M,4.98%
2011年11月29日,"5,799.91","5,725.68","5,826.35","5,690.57",143.66M,0.95%
2011年11月28日,"5,745.33","5,577.19","5,754.51","5,573.00",172.62M,4.60%
2011年11月25日,"5,492.87","5,433.30","5,528.64","5,366.50",135.41M,1.19%
2011年11月24日,"5,428.11","5,512.76","5,563.82","5,399.85",157.73M,-0.54%
2011年11月23日,"5,457.77","5,485.67","5,588.11","5,457.77",236.21M,-1.44%
2011年11月22日,"5,537.39","5,648.50","5,681.74","5,537.39",245.73M,-1.22%
2011年11月21日,"5,606.00","5,767.09","5,771.70","5,598.05",182.78M,-3.35%
2011年11月18日,"5,800.24","5,800.79","5,897.99","5,769.69",153.52M,-0.85%
2011年11月17日,"5,850.17","5,875.86","5,921.25","5,778.10",180.84M,-1.07%
2011年11月16日,"5,913.36","5,873.29","6,028.23","5,852.04",139.96M,-0.33%
2011年11月15日,"5,933.14","5,920.43","6,011.47","5,815.85",140.68M,-0.87%
2011年11月14日,"5,985.02","6,097.27","6,116.07","5,934.09",133.94M,-1.19%
2011年11月11日,"6,057.03","5,881.49","6,065.29","5,855.12",144.52M,3.22%
2011年11月10日,"5,867.81","5,732.32","5,934.31","5,721.97",201.64M,0.66%
2011年11月9日,"5,829.54","6,045.87","6,055.58","5,767.26",251.01M,-2.21%
2011年11月8日,"5,961.44","5,950.44","6,087.06","5,934.23",144.45M,0.55%
2011年11月7日,"5,928.68","5,905.93","6,028.59","5,835.09",158.21M,-0.63%
2011年11月4日,"5,966.16","6,175.43","6,175.43","5,928.92",198.96M,-2.72%
2011年11月3日,"6,133.18","5,835.36","6,193.34","5,832.03",237.53M,2.81%
2011年11月2日,"5,965.63","5,897.14","5,990.56","5,810.79",177.75M,2.25%
2011年11月1日,"5,834.51","5,934.54","5,947.58","5,762.26",291.72M,-5.00%
2011年10月31日,"6,141.34","6,283.19","6,304.84","6,141.34",173.80M,-3.23%
2011年10月28日,"6,346.19","6,364.18","6,430.60","6,305.50",207.68M,0.13%
2011年10月27日,"6,337.84","6,222.75","6,347.60","6,196.60",333.79M,5.35%
2011年10月26日,"6,016.07","6,041.16","6,143.56","5,951.82",151.17M,-0.51%
2011年10月25日,"6,046.75","6,026.45","6,157.93","5,964.28",171.99M,-0.14%
2011年10月24日,"6,055.27","6,014.36","6,067.16","5,937.58",143.51M,1.41%
2011年10月21日,"5,970.96","5,800.06","5,980.46","5,769.19",176.84M,3.55%
2011年10月20日,"5,766.48","5,834.42","5,914.87","5,752.83",172.12M,-2.49%
2011年10月19日,"5,913.53","5,909.58","5,977.75","5,874.85",141.35M,0.61%
2011年10月18日,"5,877.41","5,781.77","5,907.46","5,747.65",153.04M,0.31%
2011年10月17日,"5,859.43","6,021.29","6,081.41","5,819.97",177.50M,-1.81%
2011年10月14日,"5,967.20","5,934.78","6,037.29","5,885.39",185.19M,0.89%
2011年10月13日,"5,914.84","5,969.91","6,036.02","5,878.29",184.77M,-1.33%
2011年10月12日,"5,994.47","5,851.10","6,022.05","5,798.16",183.86M,2.21%
2011年10月11日,"5,865.01","5,825.91","5,883.38","5,773.88",139.41M,0.30%
2011年10月10日,"5,847.29","5,705.40","5,872.15","5,652.99",147.42M,3.02%
2011年10月7日,"5,675.70","5,647.66","5,749.13","5,606.32",166.60M,0.54%
2011年10月6日,"5,645.25","5,511.56","5,645.25","5,465.55",210.85M,3.15%
2011年10月5日,"5,473.03","5,341.43","5,486.03","5,266.14",178.81M,4.91%
2011年10月4日,"5,216.71","5,284.11","5,288.78","5,125.44",204.74M,-2.98%
2011年10月3日,"5,376.70","5,311.93","5,437.74","5,289.04",132.11M,-2.28%
2011年9月30日,"5,502.02","5,602.55","5,606.56","5,438.55",179.77M,-2.44%
2011年9月29日,"5,639.58","5,555.07","5,704.41","5,533.33",182.95M,1.10%
2011年9月28日,"5,578.42","5,560.60","5,700.08","5,520.59",181.76M,-0.89%
2011年9月27日,"5,628.44","5,502.89","5,638.04","5,483.23",245.88M,5.29%
2011年9月26日,"5,345.56","5,128.56","5,415.56","5,118.19",211.13M,2.87%
2011年9月23日,"5,196.56","5,227.09","5,229.60","4,973.92",198.77M,0.63%
