日期,收市,開市,高,低,成交量,更改%
2000年12月29日,"2,470.52","2,552.68","2,577.02","2,456.54",-,-3.41%
2000年12月28日,"2,557.76","2,517.90","2,571.52","2,514.56",-,0.72%
2000年12月27日,"2,539.35","2,471.33","2,539.52","2,450.22",-,1.84%
2000年12月26日,"2,493.52","2,518.29","2,548.75","2,436.19",-,-0.93%
2000年12月22日,"2,517.02","2,397.67","2,517.93","2,397.67",-,7.56%
2000年12月21日,"2,340.12","2,310.21","2,423.71","2,288.16",-,0.31%
2000年12月20日,"2,332.78","2,410.96","2,432.83","2,312.51",-,-7.12%
2000年12月19日,"2,511.71","2,617.06","2,696.61","2,509.76",-,-4.30%
2000年12月18日,"2,624.52","2,698.72","2,726.20","2,597.47",-,-1.08%
2000年12月15日,"2,653.27","2,688.66","2,697.93","2,596.03",-,-2.76%
2000年12月14日,"2,728.51","2,820.48","2,847.38","2,727.26",-,-3.34%
2000年12月13日,"2,822.77","2,996.57","3,001.72","2,814.13",-,-3.72%
2000年12月12日,"2,931.77","2,994.06","3,002.53","2,930.99",-,-2.76%
2000年12月11日,"3,015.10","2,936.60","3,028.75","2,901.48",-,3.35%
2000年12月8日,"2,917.43","2,857.93","2,929.95","2,844.93",-,5.99%
2000年12月7日,"2,752.66","2,748.29","2,794.53","2,707.96",-,-1.57%
2000年12月6日,"2,796.50","2,878.87","2,916.20","2,781.24",-,-3.23%
2000年12月5日,"2,889.80","2,702.72","2,889.80","2,694.41",-,10.48%
2000年12月4日,"2,615.75","2,662.56","2,671.18","2,567.18",-,-1.12%
2000年12月1日,"2,645.29","2,644.09","2,749.06","2,604.27",-,1.82%
2000年11月30日,"2,597.93","2,599.04","2,641.75","2,523.04",-,-4.03%
2000年11月29日,"2,706.93","2,748.18","2,770.18","2,642.89",-,-1.03%
2000年11月28日,"2,734.98","2,873.73","2,891.40","2,734.46",-,-5.05%
2000年11月27日,"2,880.49","2,979.93","2,998.75","2,874.71",-,-0.82%
2000年11月24日,"2,904.38","2,823.48","2,904.46","2,820.91",-,5.41%
2000年11月22日,"2,755.34","2,828.14","2,872.64","2,754.14",-,-4.04%
2000年11月21日,"2,871.45","2,892.03","2,921.80","2,845.17",-,-0.15%
