日期,收市,開市,高,低,成交量,更改%
2019年8月30日,99.84,100.03,100.39,99.38,385.20K,0.07%
2019年8月29日,99.77,99.64,99.83,98.54,338.83K,1.26%
2019年8月28日,98.53,98.02,98.59,97.3,313.67K,0.26%
2019年8月27日,98.27,99.39,99.39,97.84,494.07K,-0.41%
2019年8月26日,98.67,98.24,98.7,97.46,598.23K,1.18%
2019年8月23日,97.52,99.69,100.45,97,681.42K,-2.61%
2019年8月22日,100.13,99.63,100.42,99.19,419.60K,0.82%
2019年8月21日,99.32,99.5,99.5,98.6,408.50K,0.41%
2019年8月20日,98.91,99.01,99.69,98.45,556.59K,-0.51%
2019年8月19日,99.42,98.4,99.68,98.17,621.53K,1.94%
2019年8月16日,97.53,97.38,97.97,96.94,597.11K,0.57%
2019年8月15日,96.98,95.45,97.35,95.36,468.56K,1.74%
2019年8月14日,95.32,96.4,97.5,95.26,560.48K,-2.67%
2019年8月13日,97.93,96.27,98.48,96.1,578.89K,1.40%
2019年8月12日,96.58,97.91,98.17,96.57,498.52K,-1.99%
2019年8月9日,98.54,97.92,98.97,97.42,586.95K,0.28%
2019年8月8日,98.26,96.79,98.38,96.05,742.65K,2.23%
2019年8月7日,96.12,94.89,96.47,93.46,944.98K,0.28%
2019年8月6日,95.85,95.01,96.14,94.21,765.91K,1.58%
2019年8月5日,94.36,97.31,97.33,93.95,1.07M,-3.67%
2019年8月2日,97.95,97.72,98.47,96.96,775.07K,0.31%
2019年8月1日,97.65,96.2,98.25,96.2,986.32K,1.33%
