日期,收市,開市,高,低,成交量,更改%
2008年11月20日,752.44,805.87,820.52,747.78,-,-6.71%
2008年11月19日,806.58,859.03,864.57,806.18,-,-6.12%
2008年11月18日,859.12,852.34,865.9,826.84,-,0.98%
2008年11月17日,850.75,873.23,882.29,848.98,-,-2.58%
2008年11月14日,873.29,904.36,916.88,869.88,-,-4.17%
2008年11月13日,911.29,853.13,913.01,818.69,-,6.92%
2008年11月12日,852.3,893.39,893.39,850.48,-,-5.19%
2008年11月11日,898.95,917.15,917.15,884.9,-,-2.20%
2008年11月10日,919.21,936.75,951.95,907.47,-,-1.27%
2008年11月7日,930.99,907.44,931.46,906.9,-,2.89%
2008年11月6日,904.88,952.4,952.4,899.73,-,-5.03%
2008年11月5日,952.77,"1,001.84","1,001.84",949.86,-,-5.27%
2008年11月4日,"1,005.75",971.31,"1,007.51",971.31,-,4.08%
2008年11月3日,966.3,968.67,975.57,958.82,-,-0.25%
2008年10月31日,968.75,953.11,984.38,944.59,-,1.54%
2008年10月30日,954.09,939.38,963.23,928.5,-,2.58%
2008年10月29日,930.09,939.51,969.97,922.26,-,-1.11%
2008年10月28日,940.51,848.92,940.51,845.27,-,10.79%
2008年10月27日,848.92,874.28,893.78,846.75,-,-3.18%
2008年10月24日,876.77,895.22,896.3,852.85,-,-3.45%
2008年10月23日,908.11,899.08,922.83,858.44,-,1.26%
2008年10月22日,896.78,951.67,951.67,875.81,-,-6.10%
2008年10月21日,955.05,980.4,985.44,952.47,-,-3.08%
2008年10月20日,985.4,943.51,985.4,943.51,-,4.77%
2008年10月17日,940.55,942.29,984.64,918.74,-,-0.62%
2008年10月16日,946.43,909.53,947.71,865.83,-,4.25%
2008年10月15日,907.84,994.6,994.6,903.99,-,-9.03%
2008年10月14日,998.01,"1,009.97","1,044.31",972.07,-,-0.53%
2008年10月13日,"1,003.35",912.75,"1,006.93",912.75,-,11.58%
2008年10月10日,899.22,902.31,936.36,839.8,-,-1.18%
2008年10月9日,909.92,988.42,"1,005.25",909.19,-,-7.62%
2008年10月8日,984.94,988.91,"1,021.06",970.97,-,-1.13%
2008年10月7日,996.23,"1,057.60","1,072.91",996.23,-,-5.74%
2008年10月6日,"1,056.89","1,097.56","1,097.56","1,007.97",-,-3.85%
2008年10月3日,"1,099.23","1,115.16","1,153.82","1,098.14",-,-1.35%
2008年10月2日,"1,114.28","1,160.64","1,160.64","1,111.43",-,-4.03%
2008年10月1日,"1,161.06","1,164.17","1,167.03","1,140.77",-,-0.45%
2008年9月30日,"1,166.36","1,113.78","1,168.03","1,113.78",-,5.42%
2008年9月29日,"1,106.42","1,209.07","1,209.07","1,106.42",-,-8.81%
