日期,收市,開市,高,低,成交量,更改%
2000年12月29日,"1,320.30","1,334.20","1,340.10","1,317.50",-,-1.04%
2000年12月28日,"1,334.20","1,328.90","1,335.90","1,325.80",-,0.40%
2000年12月27日,"1,328.90","1,315.20","1,332.00","1,311.00",-,1.04%
2000年12月26日,"1,315.20","1,306.00","1,315.90","1,301.60",-,0.70%
2000年12月22日,"1,306.00","1,274.90","1,306.00","1,274.90",-,2.44%
2000年12月21日,"1,274.90","1,264.70","1,285.30","1,254.10",-,0.81%
2000年12月20日,"1,264.70","1,305.60","1,305.60","1,261.20",-,-3.13%
2000年12月19日,"1,305.60","1,323.00","1,346.40","1,305.20",-,-1.29%
2000年12月18日,"1,322.70","1,312.20","1,332.30","1,312.20",-,0.80%
2000年12月15日,"1,312.20","1,340.90","1,340.90","1,305.40",-,-2.14%
2000年12月14日,"1,340.90","1,360.00","1,360.00","1,340.50",-,-1.40%
2000年12月13日,"1,360.00","1,371.20","1,385.80","1,358.50",-,-0.82%
2000年12月12日,"1,371.20","1,380.20","1,380.30","1,370.30",-,-0.65%
2000年12月11日,"1,380.20","1,369.90","1,389.00","1,364.10",-,0.75%
2000年12月8日,"1,369.90","1,343.50","1,380.30","1,343.50",-,1.97%
2000年12月7日,"1,343.50","1,351.50","1,353.50","1,339.30",-,-0.59%
2000年12月6日,"1,351.50","1,376.50","1,376.50","1,346.20",-,-1.82%
2000年12月5日,"1,376.50","1,325.00","1,376.60","1,325.00",-,3.89%
2000年12月4日,"1,325.00","1,315.20","1,332.10","1,310.20",-,0.75%
2000年12月1日,"1,315.20","1,315.00","1,334.70","1,307.00",-,0.02%
2000年11月30日,"1,315.00","1,341.90","1,341.90","1,294.90",-,-2.00%
2000年11月29日,"1,341.90","1,336.10","1,352.40","1,329.30",-,0.43%
2000年11月28日,"1,336.10","1,349.00","1,358.80","1,335.00",-,-0.96%
2000年11月27日,"1,349.00","1,341.80","1,362.50","1,341.80",-,0.54%
2000年11月24日,"1,341.80","1,322.40","1,343.80","1,322.40",-,1.47%
2000年11月22日,"1,322.40","1,347.30","1,347.30","1,321.90",-,-1.85%
2000年11月21日,"1,347.30","1,342.60","1,355.90","1,333.60",-,0.35%
2000年11月20日,"1,342.60","1,367.70","1,367.70","1,341.70",-,-1.84%
2000年11月17日,"1,367.70","1,372.30","1,384.80","1,355.50",-,-0.34%
2000年11月16日,"1,372.30","1,389.80","1,394.70","1,370.40",-,-1.26%
2000年11月15日,"1,389.80","1,383.00","1,396.00","1,374.80",-,0.49%
2000年11月14日,"1,383.00","1,351.30","1,390.10","1,351.30",-,2.35%
2000年11月13日,"1,351.30","1,366.00","1,366.00","1,328.60",-,-1.08%
2000年11月10日,"1,366.00","1,400.10","1,400.10","1,366.00",-,-2.44%
2000年11月9日,"1,400.10","1,409.30","1,409.30","1,369.70",-,-0.65%
2000年11月8日,"1,409.30","1,431.90","1,437.30","1,408.80",-,-1.58%
2000年11月7日,"1,431.90","1,432.20","1,436.20","1,423.30",-,-0.02%
2000年11月6日,"1,432.20","1,428.80","1,438.50","1,427.70",-,0.39%
2000年11月3日,"1,426.70","1,428.30","1,433.20","1,420.90",-,-0.11%
2000年11月2日,"1,428.30","1,421.20","1,433.30","1,421.10",-,0.50%
2000年11月1日,"1,421.20","1,429.40","1,429.60","1,410.50",-,-0.57%
2000年10月31日,"1,429.40","1,398.70","1,432.20","1,398.70",-,2.19%
2000年10月30日,"1,398.70","1,379.60","1,406.40","1,376.90",-,1.38%
2000年10月27日,"1,379.60","1,364.40","1,384.60","1,364.10",-,1.11%
2000年10月26日,"1,364.40","1,364.90","1,372.70","1,337.80",-,-0.04%
2000年10月25日,"1,364.90","1,398.10","1,398.10","1,362.20",-,-2.37%
2000年10月24日,"1,398.10","1,395.80","1,415.60","1,388.10",-,0.16%
2000年10月23日,"1,395.80","1,396.90","1,407.00","1,387.80",-,-0.08%
2000年10月20日,"1,396.90","1,388.80","1,408.50","1,382.20",-,0.58%
2000年10月19日,"1,388.80","1,342.10","1,389.90","1,342.10",-,3.48%
2000年10月18日,"1,342.10","1,350.00","1,356.70","1,305.80",-,-0.59%
2000年10月17日,"1,350.00","1,374.60","1,381.00","1,342.30",-,-1.79%
2000年10月16日,"1,374.60","1,374.20","1,379.50","1,365.10",-,0.03%
2000年10月13日,"1,374.20","1,329.80","1,374.20","1,326.80",-,3.34%
2000年10月12日,"1,329.80","1,364.60","1,374.90","1,328.10",-,-2.55%
2000年10月11日,"1,364.60","1,387.00","1,387.00","1,349.70",-,-1.61%
2000年10月10日,"1,387.00","1,402.00","1,408.80","1,383.80",-,-1.07%
2000年10月9日,"1,402.00","1,409.00","1,409.70","1,392.50",-,-0.50%
2000年10月6日,"1,409.00","1,436.30","1,443.30","1,397.10",-,-1.90%
2000年10月5日,"1,436.30","1,434.30","1,444.20","1,431.80",-,0.14%
2000年10月4日,"1,434.30","1,426.50","1,440.00","1,416.30",-,0.55%
2000年10月3日,"1,426.50","1,436.20","1,454.80","1,425.30",-,-0.68%
2000年10月2日,"1,436.20","1,436.50","1,445.50","1,429.80",-,-0.02%
2000年9月29日,"1,436.50","1,458.30","1,458.30","1,436.50",-,-1.49%
2000年9月28日,"1,458.30","1,426.60","1,461.70","1,425.80",-,2.22%
2000年9月27日,"1,426.60","1,427.20","1,436.70","1,419.50",-,-0.04%
2000年9月26日,"1,427.20","1,439.00","1,447.70","1,425.30",-,-0.82%
2000年9月25日,"1,439.00","1,448.70","1,457.40","1,436.10",-,-0.67%
2000年9月22日,"1,448.70","1,449.00","1,449.40","1,421.90",-,-0.02%
2000年9月21日,"1,449.00","1,451.30","1,452.90","1,436.20",-,-0.16%
2000年9月20日,"1,451.30","1,459.90","1,460.70","1,431.00",-,-0.59%
2000年9月19日,"1,459.90","1,444.50","1,461.00","1,444.50",-,1.07%
2000年9月18日,"1,444.50","1,465.80","1,467.90","1,441.80",-,-1.45%
2000年9月15日,"1,465.80","1,480.90","1,481.00","1,460.20",-,-1.02%
2000年9月14日,"1,480.90","1,484.90","1,494.30","1,476.80",-,-0.27%
2000年9月13日,"1,484.90","1,482.00","1,487.40","1,474.00",-,0.20%
2000年9月12日,"1,482.00","1,489.30","1,496.60","1,479.90",-,-0.49%
2000年9月11日,"1,489.30","1,494.50","1,506.60","1,483.00",-,-0.35%
2000年9月8日,"1,494.50","1,502.50","1,502.50","1,489.90",-,-0.53%
2000年9月7日,"1,502.50","1,492.20","1,505.20","1,492.20",-,0.69%
2000年9月6日,"1,492.20","1,507.10","1,512.40","1,492.20",-,-0.99%
2000年9月5日,"1,507.10","1,520.80","1,520.80","1,504.20",-,-0.90%
2000年9月1日,"1,520.80","1,517.70","1,530.00","1,515.60",-,0.20%
2000年8月31日,"1,517.70","1,502.60","1,525.30","1,502.60",-,1.00%
2000年8月30日,"1,502.60","1,509.80","1,510.40","1,500.10",-,-0.48%
2000年8月29日,"1,509.80","1,514.10","1,514.80","1,505.50",-,-0.28%
2000年8月28日,"1,514.10","1,507.00","1,523.90","1,506.50",-,0.50%
2000年8月25日,"1,506.50","1,508.30","1,513.40","1,505.20",-,-0.12%
