日期,收市,開市,高,低,成交量,更改%
2019年12月31日,"4,691.00","4,663.80","4,691.50","4,662.00",-,0.38%
2019年12月30日,"4,673.10","4,693.30","4,694.40","4,667.80",-,-0.42%
2019年12月27日,"4,692.90","4,705.70","4,706.10","4,685.70",-,-0.08%
2019年12月26日,"4,696.80","4,692.70","4,698.10","4,685.20",-,0.22%
2019年12月24日,"4,686.60","4,685.90","4,690.10","4,683.10",-,0.02%
2019年12月23日,"4,685.90","4,692.90","4,692.90","4,681.30",-,0.04%
2019年12月20日,"4,684.10","4,677.40","4,687.20","4,672.50",-,0.56%
2019年12月19日,"4,658.00","4,645.50","4,661.50","4,643.70",-,0.33%
2019年12月18日,"4,642.80","4,642.00","4,648.40","4,635.10",-,0.13%
2019年12月17日,"4,637.00","4,638.30","4,643.20","4,633.80",-,0.03%
2019年12月16日,"4,635.50","4,634.00","4,648.00","4,632.40",-,0.63%
2019年12月13日,"4,606.50","4,616.10","4,638.40","4,592.80",-,-0.30%
2019年12月12日,"4,620.50","4,574.50","4,628.40","4,569.70",-,1.03%
2019年12月11日,"4,573.40","4,566.40","4,577.60","4,561.70",-,0.27%
2019年12月10日,"4,561.20","4,566.10","4,576.30","4,554.40",-,-0.13%
2019年12月9日,"4,567.20","4,575.10","4,582.00","4,567.20",-,-0.28%
2019年12月6日,"4,579.90","4,569.20","4,589.50","4,569.20",-,0.90%
2019年12月5日,"4,538.90","4,540.70","4,542.30","4,521.50",-,0.14%
2019年12月4日,"4,532.30","4,498.80","4,547.00","4,498.80",-,0.74%
2019年12月3日,"4,498.80","4,535.50","4,535.50","4,469.70",-,-0.81%
2019年12月2日,"4,535.50","4,577.10","4,577.10","4,535.30",-,-0.83%
2019年11月29日,"4,573.60","4,585.80","4,590.30","4,570.40",-,-0.50%
2019年11月27日,"4,596.80","4,586.00","4,597.30","4,581.50",-,0.39%
2019年11月26日,"4,578.80","4,570.10","4,581.10","4,564.00",-,0.13%
2019年11月25日,"4,572.70","4,544.70","4,573.60","4,544.70",-,0.87%
2019年11月22日,"4,533.40","4,531.50","4,535.30","4,515.40",-,0.35%
2019年11月21日,"4,517.70","4,531.40","4,531.80","4,508.20",-,-0.26%
2019年11月20日,"4,529.50","4,536.60","4,546.10","4,507.50",-,-0.39%
2019年11月19日,"4,547.20","4,556.50","4,556.60","4,533.10",-,-0.11%
2019年11月18日,"4,552.10","4,549.00","4,553.60","4,542.80",-,-0.10%
2019年11月15日,"4,556.60","4,541.40","4,556.60","4,535.00",-,0.74%
2019年11月14日,"4,523.10","4,510.90","4,524.70","4,506.60",-,0.19%
2019年11月13日,"4,514.50","4,519.50","4,522.60","4,493.00",-,-0.11%
2019年11月12日,"4,519.50","4,517.60","4,539.50","4,510.50",-,0.04%
2019年11月11日,"4,517.60","4,505.30","4,520.20","4,501.30",-,-0.25%
2019年11月8日,"4,528.70","4,518.90","4,528.70","4,495.70",-,0.22%
2019年11月7日,"4,518.90","4,530.70","4,543.10","4,511.70",-,0.20%
2019年11月6日,"4,510.10","4,513.00","4,515.40","4,496.00",-,-0.07%
2019年11月5日,"4,513.00","4,518.70","4,536.20","4,507.20",-,-0.03%
2019年11月4日,"4,514.60","4,511.40","4,517.30","4,505.20",-,0.57%
2019年11月1日,"4,488.80","4,433.90","4,488.80","4,433.90",-,1.24%
2019年10月31日,"4,433.90","4,446.80","4,446.80","4,408.50",-,-0.56%
2019年10月30日,"4,458.80","4,458.70","4,460.60","4,432.10",-,0.00%
2019年10月29日,"4,458.70","4,448.70","4,470.50","4,439.20",-,0.23%
2019年10月28日,"4,448.70","4,450.40","4,464.00","4,448.60",-,0.31%
2019年10月25日,"4,435.00","4,415.70","4,444.80","4,411.80",-,0.31%
2019年10月24日,"4,421.40","4,431.40","4,432.00","4,401.40",-,0.07%
2019年10月23日,"4,418.50","4,405.40","4,418.60","4,393.20",-,0.30%
2019年10月22日,"4,405.40","4,409.20","4,428.40","4,400.60",-,0.03%
2019年10月21日,"4,404.20","4,393.70","4,406.30","4,392.10",-,0.73%
2019年10月18日,"4,372.30","4,376.30","4,382.10","4,356.40",-,-0.09%
2019年10月17日,"4,376.30","4,377.60","4,391.20","4,367.00",-,0.36%
2019年10月16日,"4,360.80","4,360.80","4,376.60","4,356.40",-,-0.19%
2019年10月15日,"4,369.00","4,341.60","4,380.50","4,340.70",-,0.86%
2019年10月14日,"4,331.80","4,331.70","4,338.50","4,320.70",-,-0.23%
2019年10月11日,"4,341.90","4,322.40","4,376.30","4,322.40",-,1.41%
2019年10月10日,"4,281.30","4,249.90","4,293.50","4,248.70",-,0.73%
2019年10月9日,"4,250.40","4,244.60","4,265.50","4,233.10",-,0.84%
2019年10月8日,"4,215.10","4,257.20","4,260.10","4,214.90",-,-1.74%
2019年10月7日,"4,289.70","4,300.50","4,321.10","4,286.00",-,-0.51%
2019年10月4日,"4,311.50","4,271.70","4,313.00","4,266.10",-,1.15%
2019年10月3日,"4,262.60","4,226.90","4,263.10","4,182.70",-,0.69%
2019年10月2日,"4,233.30","4,286.40","4,286.40","4,215.60",-,-1.87%
2019年10月1日,"4,314.10","4,393.80","4,402.90","4,310.40",-,-1.56%
2019年9月30日,"4,382.50","4,369.30","4,392.80","4,369.30",-,0.46%
2019年9月27日,"4,362.30","4,379.30","4,396.60","4,339.40",-,-0.39%
2019年9月26日,"4,379.30","4,389.60","4,391.50","4,359.00",-,-0.24%
2019年9月25日,"4,389.60","4,364.60","4,395.90","4,350.50",-,0.55%
