日期,收市,開市,高,低,成交量,更改%
2011年12月30日,"12,217.56","12,286.13","12,290.06","12,213.78",96.67M,-0.57%
2011年12月29日,"12,287.04","12,152.09","12,293.96","12,152.09",84.61M,1.12%
2011年12月28日,"12,151.41","12,288.85","12,299.11","12,140.17",84.01M,-1.14%
2011年12月27日,"12,291.35","12,293.47","12,328.47","12,269.97",95.98M,-0.02%
2011年12月23日,"12,294.00","12,169.80","12,297.44","12,169.80",80.42M,1.02%
2011年12月22日,"12,169.65","12,107.59","12,182.71","12,107.37",151.61M,0.51%
2011年12月21日,"12,107.74","12,103.28","12,119.70","11,999.44",163.25M,0.03%
2011年12月20日,"12,103.58","11,769.21","12,117.13","11,768.83",165.18M,2.87%
2011年12月19日,"11,766.26","11,866.54","11,925.88","11,735.19",135.17M,-0.84%
2011年12月16日,"11,866.39","11,870.25","11,968.18","11,819.31",389.52M,-0.02%
2011年12月15日,"11,868.81","11,825.29","11,967.84","11,825.22",136.93M,0.38%
2011年12月14日,"11,823.48","11,949.72","11,950.02","11,786.47",161.24M,-1.10%
2011年12月13日,"11,954.94","12,018.66","12,147.70","11,904.38",171.91M,-0.55%
2011年12月12日,"12,021.39","12,181.08","12,181.38","11,940.86",149.05M,-1.34%
2011年12月9日,"12,184.26","11,996.03","12,212.83","11,995.51",154.25M,1.55%
2011年12月8日,"11,997.70","12,195.91","12,195.91","11,966.22",165.88M,-1.63%
2011年12月7日,"12,196.37","12,144.41","12,257.67","12,060.37",168.44M,0.38%
2011年12月6日,"12,150.13","12,097.75","12,215.71","12,076.71",145.92M,0.43%
2011年12月5日,"12,097.83","12,021.54","12,186.53","12,021.46",153.83M,0.65%
2011年12月2日,"12,019.42","12,022.37","12,146.68","12,007.12",150.11M,-0.01%
2011年12月1日,"12,020.03","12,046.21","12,062.64","11,974.62",143.70M,-0.21%
2011年11月30日,"12,045.68","11,559.27","12,045.68","11,559.27",286.79M,4.24%
2011年11月29日,"11,555.63","11,523.01","11,624.01","11,517.04",156.95M,0.28%
2011年11月28日,"11,523.01","11,232.47","11,562.10","11,232.16",204.95M,2.59%
2011年11月25日,"11,231.78","11,251.88","11,361.47","11,231.56",87.48M,-0.23%
2011年11月23日,"11,257.55","11,492.74","11,492.82","11,257.55",152.22M,-2.05%
2011年11月22日,"11,493.72","11,542.39","11,571.75","11,433.97",148.57M,-0.46%
2011年11月21日,"11,547.31","11,795.55","11,795.70","11,454.07",170.96M,-2.11%
2011年11月18日,"11,796.16","11,768.98","11,854.81","11,755.82",181.24M,0.22%
2011年11月17日,"11,770.73","11,905.67","11,948.43","11,676.35",169.83M,-1.13%
2011年11月16日,"11,905.59","12,084.74","12,109.03","11,890.57",166.22M,-1.58%
2011年11月15日,"12,096.16","12,077.92","12,165.11","12,001.26",145.11M,0.14%
2011年11月14日,"12,078.98","12,153.00","12,170.56","12,027.03",119.61M,-0.61%
2011年11月11日,"12,153.68","11,896.28","12,179.72","11,896.28",134.52M,2.19%
2011年11月10日,"11,893.79","11,780.03","11,961.14","11,779.88",168.47M,0.96%
2011年11月9日,"11,780.94","12,166.40","12,166.40","11,736.93",180.20M,-3.20%
2011年11月8日,"12,170.18","12,055.52","12,187.51","12,002.17",144.95M,0.84%
2011年11月7日,"12,068.39","11,983.02","12,074.44","11,880.69",122.11M,0.71%
2011年11月4日,"11,983.24","12,043.41","12,043.49","11,850.31",126.15M,-0.51%
2011年11月3日,"12,044.47","11,835.59","12,065.93","11,835.43",158.17M,1.76%
2011年11月2日,"11,836.04","11,658.49","11,876.83","11,658.49",154.14M,1.53%
2011年11月1日,"11,657.96","11,951.53","11,951.76","11,630.03",218.29M,-2.48%
2011年10月31日,"11,955.01","12,229.22","12,229.29","11,954.41",185.79M,-2.26%
2011年10月28日,"12,231.11","12,207.34","12,251.92","12,164.24",163.62M,0.18%
2011年10月27日,"12,208.55","11,872.07","12,284.31","11,872.07",251.64M,2.86%
2011年10月26日,"11,869.04","11,707.76","11,891.21","11,694.36",183.73M,1.39%
2011年10月25日,"11,706.62","11,912.63","11,912.86","11,682.52",161.45M,-1.74%
2011年10月24日,"11,913.62","11,807.96","11,940.75","11,805.77",161.87M,0.89%
2011年10月21日,"11,808.79","11,543.22","11,812.46","11,542.84",264.00M,2.31%
2011年10月20日,"11,541.78","11,502.13","11,581.25","11,391.14",166.10M,0.32%
2011年10月19日,"11,504.62","11,577.54","11,633.70","11,469.17",169.58M,-0.63%
2011年10月18日,"11,577.05","11,396.17","11,652.74","11,296.12",201.41M,1.58%
2011年10月17日,"11,397.00","11,643.35","11,643.35","11,378.35",140.36M,-2.13%
2011年10月14日,"11,644.49","11,478.97","11,646.83","11,478.66",133.57M,1.45%
2011年10月13日,"11,478.13","11,518.09","11,518.09","11,377.82",143.99M,-0.35%
2011年10月12日,"11,518.85","11,417.36","11,625.30","11,417.28",188.13M,0.90%
2011年10月11日,"11,416.30","11,432.80","11,447.86","11,365.67",133.36M,-0.15%
2011年10月10日,"11,433.18","11,104.56","11,433.33","11,104.56",144.27M,2.97%
2011年10月7日,"11,103.12","11,123.41","11,232.05","11,051.13",188.08M,-0.18%
2011年10月6日,"11,123.33","10,939.87","11,132.60","10,858.67",190.04M,1.68%
2011年10月5日,"10,939.95","10,800.47","10,950.89","10,738.10",226.44M,1.21%
2011年10月4日,"10,808.71","10,651.44","10,825.44","10,404.49",267.44M,1.44%
2011年10月3日,"10,655.30","10,912.10","10,979.19","10,653.34",242.87M,-2.36%
2011年9月30日,"10,913.38","11,152.32","11,152.39","10,909.52",213.20M,-2.16%
2011年9月29日,"11,153.98","11,012.79","11,271.14","10,965.45",191.34M,1.30%
2011年9月28日,"11,010.90","11,189.10","11,317.08","10,996.98",172.41M,-1.61%
2011年9月27日,"11,190.69","11,045.23","11,369.30","11,045.23",212.70M,1.33%
2011年9月26日,"11,043.86","10,771.78","11,057.49","10,771.78",225.62M,2.53%
2011年9月23日,"10,771.48","10,732.77","10,808.49","10,638.73",223.14M,0.35%
2011年9月22日,"10,733.83","11,121.89","11,122.12","10,597.14",306.17M,-3.51%
2011年9月21日,"11,124.84","11,408.58","11,447.86","11,117.28",221.86M,-2.49%
2011年9月20日,"11,408.66","11,401.47","11,550.22","11,373.92",157.06M,0.07%
