日期,收市,開市,高,低,成交量,更改%
2000年12月29日,"10,786.85","10,868.76","10,917.68","10,758.32",212.32M,-0.75%
2000年12月28日,"10,868.76","10,795.20","10,901.37","10,774.72",188.60M,0.61%
2000年12月27日,"10,803.16","10,690.10","10,828.94","10,645.04",190.40M,1.04%
2000年12月26日,"10,692.44","10,638.21","10,701.16","10,597.64",153.96M,0.53%
2000年12月22日,"10,635.56","10,495.26","10,640.87","10,475.35",230.88M,1.41%
2000年12月21日,"10,487.29","10,314.38","10,520.47","10,299.21",321.30M,1.63%
2000年12月20日,"10,318.93","10,580.97","10,580.97","10,318.93",311.50M,-2.51%
2000年12月19日,"10,584.37","10,643.14","10,784.58","10,582.85",278.95M,-0.57%
2000年12月18日,"10,645.42","10,433.34","10,679.92","10,433.34",217.52M,2.02%
2000年12月15日,"10,434.96","10,647.98","10,653.38","10,434.59",479.46M,-2.25%
2000年12月14日,"10,674.99","10,794.82","10,798.99","10,615.84",193.43M,-1.11%
2000年12月13日,"10,794.44","10,777.95","10,915.40","10,772.54",239.43M,0.24%
2000年12月12日,"10,768.27","10,722.77","10,856.25","10,703.81",238.10M,0.40%
2000年12月11日,"10,725.80","10,719.36","10,792.16","10,670.06",256.45M,0.12%
2000年12月8日,"10,712.91","10,632.14","10,803.54","10,631.86",275.08M,0.90%
2000年12月7日,"10,617.36","10,644.66","10,689.02","10,583.23",249.40M,-0.44%
2000年12月6日,"10,664.38","10,896.14","10,896.14","10,620.86",312.57M,-2.15%
2000年12月5日,"10,898.72","10,576.78","10,917.30","10,576.78",291.62M,3.21%
2000年12月4日,"10,560.10","10,377.33","10,604.46","10,319.31",263.98M,1.80%
2000年12月1日,"10,373.54","10,416.76","10,524.45","10,348.70",301.73M,-0.39%
2000年11月30日,"10,414.49","10,610.53","10,610.53","10,292.39",362.29M,-2.02%
2000年11月29日,"10,629.11","10,502.74","10,646.17","10,480.83",235.62M,1.16%
2000年11月28日,"10,507.58","10,537.86","10,613.94","10,489.57",235.02M,-0.36%
2000年11月27日,"10,546.07","10,479.33","10,626.84","10,479.33",203.32M,0.72%
2000年11月24日,"10,470.23","10,403.87","10,508.15","10,397.05",87.98M,0.68%
2000年11月22日,"10,399.32","10,484.26","10,493.27","10,371.64",204.63M,-0.91%
2000年11月21日,"10,494.50","10,465.57","10,569.01","10,415.25",191.42M,0.30%
2000年11月20日,"10,462.65","10,624.18","10,624.28","10,449.28",203.17M,-1.57%
2000年11月17日,"10,629.87","10,657.13","10,762.59","10,565.79",221.67M,-0.25%
2000年11月16日,"10,656.03","10,705.33","10,757.66","10,639.35",175.28M,-0.48%
2000年11月15日,"10,707.60","10,681.21","10,799.37","10,635.94",189.85M,0.25%
2000年11月14日,"10,681.06","10,528.25","10,728.36","10,528.25",227.08M,1.56%
2000年11月13日,"10,517.25","10,595.35","10,595.73","10,369.74",298.02M,-0.81%
2000年11月10日,"10,602.95","10,813.78","10,813.78","10,602.57",273.91M,-2.13%
2000年11月9日,"10,834.25","10,902.11","10,902.11","10,618.49",252.89M,-0.67%
2000年11月8日,"10,907.06","10,954.34","11,002.23","10,903.27",264.70M,-0.41%
2000年11月7日,"10,952.18","10,978.72","10,996.55","10,926.02",171.15M,-0.23%
2000年11月6日,"10,977.21","10,820.60","11,006.50","10,809.98",186.86M,1.47%
2000年11月3日,"10,817.95","10,883.17","10,883.17","10,756.90",195.28M,-0.57%
2000年11月2日,"10,880.51","10,903.17","10,946.49","10,869.90",250.44M,-0.17%
2000年11月1日,"10,899.47","10,966.21","10,993.51","10,838.04",249.72M,-0.65%
2000年10月31日,"10,971.14","10,835.39","10,995.41","10,812.26",281.80M,1.25%
2000年10月30日,"10,835.77","10,588.06","10,869.52","10,578.49",266.04M,2.31%
2000年10月27日,"10,590.62","10,381.60","10,590.62","10,380.86",377.74M,2.03%
2000年10月26日,"10,380.12","10,330.18","10,454.85","10,265.06",277.12M,0.52%
2000年10月25日,"10,326.48","10,395.66","10,461.97","10,306.59",312.49M,-0.64%
2000年10月24日,"10,393.07","10,273.57","10,439.31","10,273.57",274.99M,1.18%
2000年10月23日,"10,271.72","10,230.29","10,361.25","10,216.23",339.18M,0.44%
2000年10月20日,"10,226.59","10,141.13","10,229.55","10,067.51",319.75M,0.82%
2000年10月19日,"10,142.98","10,014.61","10,142.98","10,014.61",343.71M,1.68%
2000年10月18日,"9,975.02","10,085.99","10,085.99","9,654.64",373.61M,-1.14%
2000年10月17日,"10,089.71","10,242.87","10,293.92","10,026.45",253.14M,-1.46%
2000年10月16日,"10,238.80","10,184.78","10,272.09","10,177.76",270.22M,0.46%
2000年10月13日,"10,192.18","10,031.62","10,208.09","10,014.24",300.41M,1.57%
2000年10月12日,"10,034.58","10,424.14","10,460.40","10,023.49",367.13M,-3.64%
2000年10月11日,"10,413.79","10,521.07","10,566.58","10,350.89",324.52M,-1.05%
2000年10月10日,"10,524.40","10,569.17","10,623.55","10,488.89",212.07M,-0.42%
2000年10月9日,"10,568.43","10,596.91","10,641.31","10,546.23",167.77M,-0.27%
2000年10月6日,"10,596.54","10,726.76","10,779.85","10,518.85",237.86M,-1.20%
2000年10月5日,"10,724.92","10,783.72","10,843.30","10,722.70",217.40M,-0.55%
2000年10月4日,"10,784.48","10,723.33","10,849.96","10,713.62",264.38M,0.60%
2000年10月3日,"10,719.74","10,709.84","10,857.73","10,709.84",259.60M,0.18%
2000年10月2日,"10,700.13","10,659.06","10,721.22","10,631.32",215.09M,0.46%
2000年9月29日,"10,650.92","10,821.40","10,821.40","10,650.55",237.62M,-1.60%
2000年9月28日,"10,824.06","10,629.84","10,856.25","10,623.18",233.19M,1.84%
2000年9月27日,"10,628.36","10,634.45","10,678.67","10,579.52",271.66M,-0.03%
2000年9月26日,"10,631.32","10,806.30","10,813.24","10,615.78",321.77M,-1.64%
2000年9月25日,"10,808.15","10,847.37","10,897.31","10,783.00",259.92M,-0.36%
2000年9月22日,"10,847.37","10,678.30","10,858.10","10,621.70",487.37M,0.76%
2000年9月21日,"10,765.52","10,680.52","10,783.37","10,660.54",186.17M,0.73%
2000年9月20日,"10,687.92","10,794.47","10,824.06","10,567.32",243.78M,-0.94%
2000年9月19日,"10,789.29","10,812.22","10,839.14","10,761.91",214.08M,-0.18%
2000年9月18日,"10,808.52","10,926.42","10,935.58","10,798.17",198.95M,-1.08%
2000年9月15日,"10,927.00","11,087.84","11,110.04","10,916.92",291.27M,-1.45%
2000年9月14日,"11,087.47","11,189.58","11,208.07","11,069.34",218.81M,-0.85%
2000年9月13日,"11,182.18","11,225.03","11,231.01","11,140.74",216.21M,-0.45%
2000年9月12日,"11,233.23","11,197.71","11,255.80","11,113.73",172.03M,0.34%
2000年9月11日,"11,195.49","11,219.54","11,286.13","11,139.26",160.12M,-0.22%
2000年9月8日,"11,220.65","11,261.72","11,261.72","11,191.05",181.62M,-0.35%
2000年9月7日,"11,259.87","11,316.01","11,323.87","11,223.24",222.22M,-0.45%
2000年9月6日,"11,310.64","11,253.58","11,401.19","11,253.21",224.76M,0.44%
2000年9月5日,"11,260.61","11,221.76","11,301.67","11,184.77",174.50M,0.19%
2000年9月1日,"11,238.78","11,219.54","11,313.60","11,219.54",125.14M,0.21%
2000年8月31日,"11,215.10","11,105.23","11,310.55","11,104.86",183.32M,1.01%
2000年8月30日,"11,103.01","11,209.01","11,210.29","11,096.35",146.49M,-1.00%
2000年8月29日,"11,215.10","11,249.27","11,256.17","11,196.60",149.30M,-0.34%
2000年8月28日,"11,252.84","11,194.48","11,319.06","11,188.93",166.71M,0.54%
2000年8月25日,"11,192.63","11,180.54","11,210.94","11,155.63",127.92M,0.09%
2000年8月24日,"11,182.74","11,143.91","11,197.76","11,120.10",143.97M,0.34%
2000年8月23日,"11,144.65","11,130.55","11,172.30","11,059.67",145.65M,0.05%
2000年8月22日,"11,139.15","11,082.20","11,189.70","11,081.28",146.81M,0.54%
2000年8月21日,"11,079.81","11,058.85","11,106.19","11,027.07",147.30M,0.30%
2000年8月18日,"11,046.48","11,051.20","11,082.38","11,006.19",164.87M,-0.08%
2000年8月17日,"11,055.64","11,010.95","11,091.54","10,984.40",177.57M,0.43%
