year,name,n
1990,Singapore,"38892"
1990,Japan,"3196556"
1990,South Korea,"283365"
1990,Taiwan,"166622"
1991,Singapore,"45465"
1991,Japan,"3657348"
1991,South Korea,"330658"
1991,Taiwan,"187140"
1992,Singapore,"52131"
1992,Japan,"3988334"
1992,South Korea,"355516"
1992,Taiwan,"222911"
1993,Singapore,"60604"
1993,Japan,"4544766"
1993,South Korea,"392731"
1993,Taiwan,"236339"
1994,Singapore,"73689"
1994,Japan,"4998797"
1994,South Korea,"463432"
1994,Taiwan,"256247"
1995,Singapore,"87813"
1995,Japan,"5545567"
1995,South Korea,"566595"
1995,Taiwan,"279059"
1996,Singapore,"96293"
1996,Japan,"4923393"
1996,South Korea,"610164"
1996,Taiwan,"292494"
1997,Singapore,"100124"
1997,Japan,"4492449"
1997,South Korea,"570594"
1997,Taiwan,"303284"
1998,Singapore,"85728"
1998,Japan,"4098362"
1998,South Korea,"382855"
1998,Taiwan,"279964"
1999,Singapore,"86287"
1999,Japan,"4635981"
1999,South Korea,"497254"
1999,Taiwan,"303830"
2000,Singapore,"96077"
2000,Japan,"4968359"
2000,South Korea,"576483"
2000,Taiwan,"330680"
2001,Singapore,"89794"
2001,Japan,"4374710"
2001,South Korea,"547743"
2001,Taiwan,"299276"
2002,Singapore,"92538"
2002,Japan,"4182845"
2002,South Korea,"626989"
2002,Taiwan,"307439"
2003,Singapore,"97646"
2003,Japan,"4519563"
2003,South Korea,"702696"
2003,Taiwan,"317381"
2004,Singapore,"115034"
2004,Japan,"4893135"
2004,South Korea,"792532"
2004,Taiwan,"346924"
2005,Singapore,"127808"
2005,Japan,"4831466"
2005,South Korea,"934708"
2005,Taiwan,"374060"
2006,Singapore,"148627"
2006,Japan,"4601663"
2006,South Korea,"1052610"
2006,Taiwan,"386450"
2007,Singapore,"180942"
2007,Japan,"4579749"
2007,South Korea,"1172465"
2007,Taiwan,"406907"
2008,Singapore,"193617"
2008,Japan,"5106679"
2008,South Korea,"1049168"
2008,Taiwan,"415901"
2009,Singapore,"194150"
2009,Japan,"5289494"
2009,South Korea,"943739"
2009,Taiwan,"390829"
2010,Singapore,"239808"
2010,Japan,"5759072"
2010,South Korea,"1143568"
2010,Taiwan,"444281"
2011,Singapore,"279357"
2011,Japan,"6233147"
2011,South Korea,"1253419"
2011,Taiwan,"483974"
2012,Singapore,"295093"
2012,Japan,"6272364"
2012,South Korea,"1278046"
2012,Taiwan,"495610"
2013,Singapore,"307576"
2013,Japan,"5212328"
2013,South Korea,"1370633"
2013,Taiwan,"512943"
2014,Singapore,"314864"
2014,Japan,"4896995"
2014,South Korea,"1484489"
2014,Taiwan,"535328"
2015,Singapore,"307999"
2015,Japan,"4444931"
2015,South Korea,"1466039"
2015,Taiwan,"534515"
2016,Singapore,"318753"
2016,Japan,"5003678"
2016,South Korea,"1499362"
2016,Taiwan,"543081"
2017,Singapore,"343332"
2017,Japan,"4930837"
2017,South Korea,"1623074"
2017,Taiwan,"590733"
2018,Singapore,"375963"
2018,Japan,"5036892"
2018,South Korea,"1725373"
2018,Taiwan,"609198"
2019,Singapore,"374390"
2019,Japan,"5135896"
2019,South Korea,"1651423"
2019,Taiwan,"612168"
2020,Singapore,"339981"
2020,Japan,"5045101"
2020,South Korea,"1638258"
2020,Taiwan,"668156"
2021,Singapore,"378645"
2021,Japan,"5103110"
2021,South Korea,"1823852"
2021,Taiwan,"785589"
2022,Singapore,"396995"
2022,Japan,"5383682"
2022,South Korea,"1907661"
2022,Taiwan,"850528"
